building,x,z,ground_y,floor_y,penetration_m
4호관 | OSM 219982956_0,148.516,-46.03402,-2.250992,-5.551167,3.300175
4호관 | OSM 219982956_0,149.016,-46.03402,-2.250992,-5.551167,3.300175
4호관 | OSM 219982956_0,149.516,-46.03402,-2.250992,-5.551167,3.300175
4호관 | OSM 219982956_0,147.516,-45.53402,-3.043166,-5.551167,2.508
4호관 | OSM 219982956_0,148.016,-45.53402,-3.043166,-5.551167,2.508
4호관 | OSM 219982956_0,148.516,-45.53402,-3.043166,-5.551167,2.508
4호관 | OSM 219982956_0,149.016,-45.53402,-3.043166,-5.551167,2.508
4호관 | OSM 219982956_0,149.516,-45.53402,-3.043166,-5.551167,2.508
4호관 | OSM 219982956_0,147.016,-45.03402,-3.893133,-5.551167,1.658033
4호관 | OSM 219982956_0,147.516,-45.03402,-3.893133,-5.551167,1.658033
4호관 | OSM 219982956_0,148.016,-45.03402,-3.893133,-5.551167,1.658033
4호관 | OSM 219982956_0,148.516,-45.03402,-3.893133,-5.551167,1.658033
4호관 | OSM 219982956_0,149.016,-45.03402,-3.893133,-5.551167,1.658033
4호관 | OSM 219982956_0,149.516,-45.03402,-3.893133,-5.551167,1.658033
4호관 | OSM 219982956_0,150.016,-45.03402,-3.86595,-5.551167,1.685217
4호관 | OSM 219982956_0,146.016,-44.53402,-4.743099,-5.551167,0.8080673
4호관 | OSM 219982956_0,146.516,-44.53402,-4.743099,-5.551167,0.8080673
4호관 | OSM 219982956_0,147.016,-44.53402,-4.743099,-5.551167,0.8080673
4호관 | OSM 219982956_0,147.516,-44.53402,-4.743099,-5.551167,0.8080673
4호관 | OSM 219982956_0,148.016,-44.53402,-4.743099,-5.551167,0.8080673
4호관 | OSM 219982956_0,148.516,-44.53402,-4.743099,-5.551167,0.8080673
4호관 | OSM 219982956_0,149.016,-44.53402,-4.743099,-5.551167,0.8080673
4호관 | OSM 219982956_0,149.516,-44.53402,-4.743099,-5.551167,0.8080673
4호관 | OSM 219982956_0,150.016,-44.53402,-4.715916,-5.551167,0.8352509
4호관 | OSM 219982956_0,145.016,-44.03402,-3.978109,-5.551167,1.573057
4호관 | OSM 219982956_0,145.516,-44.03402,-4.828075,-5.551167,0.7230911
4호관 | OSM 219982956_0,150.516,-44.03402,-4.715916,-5.551167,0.8352509
4호관 | OSM 219982956_0,144.016,-43.53402,-3.043166,-5.551167,2.508
4호관 | OSM 219982956_0,144.516,-43.53402,-3.128142,-5.551167,2.423024
4호관 | OSM 219982956_0,145.016,-43.53402,-3.978109,-5.551167,1.573057
4호관 | OSM 219982956_0,145.516,-43.53402,-4.828075,-5.551167,0.7230911
4호관 | OSM 219982956_0,150.516,-43.53402,-4.874685,-5.551167,0.6764812
4호관 | OSM 219982956_0,143.516,-43.03402,-3.893133,-5.551167,1.658033
4호관 | OSM 219982956_0,144.016,-43.03402,-3.893133,-5.551167,1.658033
4호관 | OSM 219982956_0,144.516,-43.03402,-3.893133,-5.551167,1.658033
4호관 | OSM 219982956_0,145.016,-43.03402,-3.978109,-5.551167,1.573057
4호관 | OSM 219982956_0,145.516,-43.03402,-4.828075,-5.551167,0.7230911
4호관 | OSM 219982956_0,150.516,-43.03402,-4.885516,-5.551167,0.6656504
4호관 | OSM 219982956_0,151.016,-43.03402,-4.133062,-5.551167,1.418104
4호관 | OSM 219982956_0,142.516,-42.53402,-4.743099,-5.551167,0.8080673
4호관 | OSM 219982956_0,143.016,-42.53402,-4.743099,-5.551167,0.8080673
