x,z,terrain,asphalt,pavement
229.4928,-100.1322,-0.5505447,,
230.4928,-100.1322,-0.2861185,,
231.4928,-100.1322,0.1136875,,
232.4928,-100.1322,0.5074406,,2.423417
233.4928,-100.1322,0.9072456,,2.423417
234.4928,-100.1322,1.300997,,2.423417
235.4928,-100.1322,1.7008,1.924653,
236.4928,-100.1322,1.945658,2.157576,
237.4928,-100.1322,2.04332,2.26206,
238.4928,-100.1322,2.076002,2.303483,
239.4928,-100.1322,2.062267,2.289001,
240.4928,-100.1322,2.065647,2.287614,
241.4928,-100.1322,2.080906,2.306815,
