landmark_id,role,entrance_id,structure_status,unity_x,unity_y,unity_z,landing_present,approach_present,pedestrian_exclusion,route_validated,verification_status
"anniversary_60",general,"anniversary_60_general",present_draft,83.39986,-2.34255028,75.1586,true,true,true,false,"synthetic_facade_entrances_not_verified_access"
"anniversary_60",accessible,"anniversary_60_accessible",present_draft,70.69864,-2.34255028,51.4621964,true,true,true,false,"synthetic_facade_entrances_not_verified_access"
"biryong_plaza",general,"biryong_plaza_general",present_draft,253.528717,2.207899,-103.07827,true,true,true,false,"osm_entrance_positions_synthetic_roles_and_pavilions_access_unknown"
"biryong_plaza",accessible,"biryong_plaza_accessible",present_draft,252.556564,2.207899,-158.102158,true,true,true,false,"osm_entrance_positions_synthetic_roles_and_pavilions_access_unknown"
"building_2",general,"building_2_general",present_draft,191.3657,-2.25099182,52.4189148,true,true,true,false,"synthetic_facade_entrances_not_verified_access"
"building_2",accessible,"building_2_accessible",present_draft,170.85611,-2.25099182,63.6277275,true,true,true,false,"synthetic_facade_entrances_not_verified_access"
"building_5",general,"building_5_general",present_draft,27.8830185,-5.3029356,124.427994,true,true,true,false,"synthetic_facade_entrances_not_verified_access"
"building_5",accessible,"building_5_accessible",present_draft,-21.87178,-5.3029356,146.686417,true,true,true,false,"synthetic_facade_entrances_not_verified_access"
"dorm_1",general,"dorm_1_general",present_draft,69.4203339,-7.90777874,-465.9238,true,true,true,false,"osm_footprint_photo_guided_synthetic_height_and_entrances"
"dorm_1",accessible,"dorm_1_accessible",present_draft,76.82228,-7.90777874,-451.45517,true,true,true,false,"osm_footprint_photo_guided_synthetic_height_and_entrances"
"dorm_2",general,"dorm_2_general",present_draft,551.502258,8.964903,-305.7918,true,true,true,false,"osm_footprint_photo_guided_synthetic_height_and_entrances"
"dorm_2",accessible,"dorm_2_accessible",present_draft,556.0631,8.964903,-297.847778,true,true,true,false,"osm_footprint_photo_guided_synthetic_height_and_entrances"
"dorm_3",general,"dorm_3_general",present_draft,543.6907,9.10213852,-385.661072,true,true,true,false,"official_map_relative_location_approximate_outline_synthetic_entrances"
"dorm_3",accessible,"dorm_3_accessible",present_draft,550.970642,9.10213852,-388.334229,true,true,true,false,"official_map_relative_location_approximate_outline_synthetic_entrances"
"hitech",general,"hitech_general",present_draft,351.575653,0.123420715,21.7191582,true,true,true,false,"synthetic_facade_entrances_not_verified_access"
"hitech",accessible,"hitech_accessible",present_draft,318.269226,0.123420715,37.20759,true,true,true,false,"synthetic_facade_entrances_not_verified_access"
"inha_station",general,"inha_station_general_exit_7",present_draft,-286.0683,-8.84462,-313.9227,true,true,true,false,"osm_exit_7_wheelchair_no_accessible_entrance_unresolved"
"inha_station",accessible,,missing_entrance,,,,false,false,unknown,false,unresolved
"library",general,"library_general",present_draft,-72.04845,-6.05676651,-153.79422,true,true,true,false,"OSM 217958067 building; synthetic separated facade portals; actual doors and access unverified"
"library",accessible,"library_accessible",present_draft,-66.2323456,-6.05676651,-143.297882,true,true,true,false,"OSM 217958067 building; synthetic separated facade portals; actual doors and access unverified"
"main_building",general,"main_building_general",present_draft,55.95985,-0.75553906,-132.977341,true,true,true,false,"OSM 217958071 building; synthetic separated facade portals; actual doors and access unverified"
"main_building",accessible,"main_building_accessible",present_draft,95.64896,-0.75553906,-155.16922,true,true,true,false,"OSM 217958071 building; synthetic separated facade portals; actual doors and access unverified"
"main_gate",general,"main_gate_general",present_draft,-33.9840469,-5.33040333,-326.717926,true,true,true,false,"osm_gate_location_synthetic_layout_unverified_access"
"main_gate",accessible,"main_gate_accessible",present_draft,-12.8205948,-5.33040333,-327.0479,true,true,true,false,"osm_gate_location_synthetic_layout_unverified_access"
"rear_gate",general,"rear_gate_general",present_draft,266.341431,-0.4930725,54.2892342,true,true,true,false,"osm_gate_location_synthetic_layout_unverified_access"
"rear_gate",accessible,"rear_gate_accessible",present_draft,258.681,-0.4930725,72.71711,true,true,true,false,"osm_gate_location_synthetic_layout_unverified_access"
"student_center",general,"student_center_general",present_draft,264.629761,2.207899,-65.80942,true,true,true,false,"OSM 218038027 building; synthetic separated facade portals; actual doors and access unverified"
"student_center",accessible,"student_center_accessible",present_draft,266.9643,2.207899,-73.46124,true,true,true,false,"OSM 218038027 building; synthetic separated facade portals; actual doors and access unverified"
