x,z,area,grade
-89.74467,-246.4412,49.09149,0.0006852806
-112.5224,-271.8438,65.24718,0
-102.1219,-256.1978,32.62346,3.32523E-05
-107.6632,-267.3221,32.62357,0
-174.9256,-196.3709,62.01626,0.0008375962
-190.255,-188.6459,31.00783,5.52384E-05
-179.9225,-192.0548,31.00786,0.0003711533
-188.3865,-184.3288,27.89688,8.949939E-05
-179.2432,-189.7452,27.89675,0.0003678107
-194.1474,-183.6281,55.79309,0.000107083
-80.71278,-224.175,35.65588,0.00237766
-43.98471,-291.9732,22.09745,0.0005579762
-40.27378,-303.7693,11.04901,0.0004938192
-43.49773,-296.1678,11.04904,0.0005582455
-49.94563,-280.9646,11.04863,0.0009749276
-53.16959,-273.363,11.04863,0.001074731
-47.20868,-284.3716,22.09741,0.0007289704
-38.5863,-303.1787,22.09769,0.0004938187
-40.68527,-295.1833,22.09763,0.0004938971
-35.28685,-306.3888,44.19539,0.0005432356
80.6537,-314.5811,75.81805,0.01164604
59.40848,-316.7343,37.90928,0.01202167
73.04694,-313.766,37.90917,0.01236453
37.76948,-317.7379,37.90915,0.011464
16.32738,-319.3162,18.95446,0.01149025
30.35961,-317.4975,18.95437,0.01137015
51.60483,-315.3444,37.90925,0.01209282
72.45631,-312.0415,18.9541,0.01236471
58.81784,-315.0099,18.95415,0.01202186
-8.148355,-297.5665,17.39129,0.008414932
-16.45895,-292.9938,12.48174,0.02027834
-15.40143,-296.2697,12.48198,0.0104786
-20.07131,-292.295,24.96325,0.01145783
-30.81364,-207.9236,32.1883,0.02119946
-46.24893,-197.8691,16.0941,0.02142679
-35.57103,-203.8978,16.09412,0.02122347
-14.21524,-215.9551,16.09399,0.02150015
-3.537357,-221.9838,16.09399,0.02247811
-20.13576,-213.9522,32.18824,0.02136703
-47.12127,-199.3863,32.18821,0.02141378
-37.02494,-206.4263,32.18817,0.0211705
-55.56586,-195.6233,32.1884,0.02137718
-48.2844,-201.4091,16.09417,0.0209744
-53.91412,-198.9005,16.09421,0.01524328
42.60862,-174.0555,3.943877,0.02455859
44.16636,-172.3488,1.971929,0.01880597
43.80397,-173.8711,1.971979,0.04053124
46.05909,-171.0486,0.2464897,0.02360666
46.30807,-171.5143,0.06162583,0.02897573
46.38955,-171.7767,0.06162611,0.1594046
46.09527,-171.5013,0.1232462,0.03493533
45.6335,-171.0227,0.4929967,0.04764373
46.66589,-170.3135,0.4929963,0.02026951
46.61147,-171.1467,0.1232466,0.04965268
46.56161,-171.6585,0.06162443,0.1654602
46.48014,-171.3961,0.06162415,0.03403359
46.40323,-170.8122,0.2464932,0.02634065
48.04244,-169.3679,0.9859715,0.002993651
47.08238,-170.9824,0.4929934,0.09248427
47.26357,-170.2213,0.4929986,0.02070767
45.43405,-173.0697,0.9859557,0.06129515
44.56459,-174.3036,0.9859913,0.03794407
45.36171,-172.1644,1.971911,0.0728123
41.70267,-177.8613,3.943815,0.02541189
39.96376,-180.3291,3.943833,0.01518802
41.55798,-176.0506,7.887737,0.01707602
45.76059,-168.0703,15.77535,0.003887333
43.00751,-169.9614,15.77546,0.02192236
34.23991,-187.4443,31.5508,0.01473324
39.89205,-173.3749,15.77524,0.009882375
38.44252,-179.464,15.77544,0.01641477
23.80638,-202.2515,31.55083,0.02509699
13.87993,-217.347,15.77558,0.03244246
19.82146,-206.8988,15.7756,0.02392136
33.44345,-183.5347,7.887786,0.008091693
28.48022,-191.0824,3.943813,0.01078422
31.45099,-185.8583,3.943823,0.005376936
37.64606,-175.5544,15.77557,0.01013573
29.74791,-191.8033,31.55082,0.01170157
54.69659,-206.3709,15.3492,0.007459579
59.15047,-198.8093,7.674639,0.002050775
56.86413,-204.2226,7.674632,0.005767323
65.77187,-189.0993,15.34915,0.008278123
60.43093,-199.5072,3.837298,0.003314962
57.63241,-204.6414,3.837295,0.006178937
61.318,-196.6609,7.674582,0.004512621
48.98076,-219.9043,15.34941,0.01468026
43.38373,-230.1727,15.34941,0.02717504
50.75491,-214.2117,30.69841,0.01458452
62.06778,-190.41,15.34936,0.01630429
66.40285,-186.1134,15.34917,0.02138304
57.6139,-197.9717,30.69868,0.01094066
67.66481,-180.1417,30.69855,0.003793905
63.24064,-186.8871,3.83734,0.0187238
63.30004,-185.2546,3.837382,0.04152222
60.53122,-189.5725,3.837277,0.01596508
61.41829,-186.7262,0.9593326,0.0237988
61.98987,-185.3729,0.9593326,0.05026298
61.64468,-187.6821,1.918653,0.02386954
64.50259,-180.9154,1.91867,0.001391122
63.13303,-182.6662,0.9593269,0.1054628
63.70461,-181.3129,0.9593443,0.117996
65.10387,-178.7458,3.837343,0.001459659
64.41351,-183.3642,7.674691,0.0244488
19.81287,-131.1803,40.09604,0.01174643
3.562386,-121.0793,10.02397,0.01083615
-6.1606,-114.9672,5.012045,0.006565993
0.5034345,-118.6982,5.012041,0.01099573
13.69497,-126.418,20.04791,0.01165302
40.3511,-141.3419,20.04819,0.01198962
53.67917,-148.8039,20.04818,0.01245252
33.14093,-138.6423,40.09606,0.01196528
-6.843264,-116.2563,20.04817,0.006623041
-0.4522934,-120.503,20.04819,0.01139804
-11.13101,-116.1956,40.09625,0.01899347
12.32964,-128.9962,40.09653,0.01177013
-1.544559,-122.5656,40.09653,0.01309451
80.3353,-163.7279,20.04801,0.0135836
93.66337,-171.1899,20.04797,0.01491165
73.12514,-161.0282,40.09602,0.01361983
113.6555,-182.3829,20.0482,0.01517794
130.4521,-191.4525,5.012079,0.01662106
140.5164,-196.9201,2.506307,0.02343657
133.7158,-193.4469,2.506311,0.01673708
120.183,-186.3717,10.02414,0.0151779
92.98069,-172.479,10.02414,0.01491161
79.37957,-165.5327,10.02413,0.01364429
100.0543,-175.4365,20.04816,0.01491161
32.04867,-140.7049,20.04817,0.01190323
52.17731,-151.64,10.02392,0.01239551
38.57618,-144.6937,10.02392,0.01186246
11.37391,-130.801,10.02388,0.01177007
-2.227226,-123.8547,10.02388,0.01309442
18.44754,-133.7585,20.04816,0.01177007
52.58691,-150.8665,20.04818,0.01237974
39.25884,-143.4046,20.0482,0.01190323
59.79707,-153.5662,40.09597,0.01242126
127.1486,-115.2781,6.793424,0.0300957
117.9023,-110.6211,1.698343,0.03024104
113.3128,-108.2279,1.698343,0.02349373
120.3319,-111.559,3.396716,0.02940772
132.0078,-117.154,13.58687,0.03005635
146.3155,-123.2991,6.793426,0.03094697
155.7641,-127.5682,6.793439,0.03192047
141.3215,-121.6818,13.58686,0.03087809
119.725,-112.7228,6.793403,0.03025461
113.1106,-108.6158,3.396688,0.023646
117.7,-111.009,3.396688,0.03035943
126.744,-116.0539,13.5868,0.03011066
110.2764,-108.4537,13.58683,0.02870249
114.5962,-111.3641,13.58686,0.02989777
105.7485,-107.0115,10.63875,0.01673274
-60.38767,-193.2252,24.25575,0.01169053
-76.11817,-217.1582,51.92865,0.002675936
-66.3073,-205.4002,25.96416,0.002116985
-71.41303,-213.8717,25.96413,0.002706242
-79.45236,-228.1311,32.93261,0.002526633
0.941344,-81.7486,24.11708,0.01586635
8.448562,-70.17063,12.05867,0.02075903
4.119817,-78.27441,12.05867,0.01612991
-4.537666,-94.48196,12.0584,0.01545629
-8.866409,-102.5857,12.05841,0.01443054
-3.387394,-89.85239,24.11707,0.01547121
6.92741,-69.30411,24.11687,0.02073919
1.584566,-76.83019,24.11692,0.01576346
9.4134,-62.79301,24.117,0.02964511
4.899214,-68.14874,12.05854,0.01761096
6.556539,-63.808,12.05852,0.01249001
-59.13183,-24.03671,26.89171,0.02316946
-89.91781,-65.16084,69.74023,0.003794048
-98.54407,-82.49664,34.87005,0.004106505
-94.53883,-70.85431,34.86999,0.004059475
-108.4795,-99.76859,34.86984,0.003577257
-117.7604,-117.0724,17.43473,0.003412188
-112.4459,-105.494,17.4347,0.003570298
-103.8197,-88.1582,34.86984,0.003904295
-96.50262,-70.75854,17.43493,0.004126955
-100.5079,-82.40087,17.43496,0.004172343
-128.3504,-134.3125,34.86981,0.002955385
-137.6313,-151.6163,17.43535,0.002822171
-132.3168,-140.0379,17.43537,0.002971858
-147.5667,-168.8882,17.43522,0.002579551
-157.1749,-186.1761,8.717415,0.00218423
-151.2058,-174.6296,8.717422,0.002595514
-141.925,-157.3257,17.43525,0.002767482
-133.2987,-139.99,8.717277,0.00297195
-138.6132,-151.5684,8.717267,0.002822282
-123.3633,-122.718,34.86978,0.003255425
-115.0643,-105.3663,17.43478,0.003828865
-119.7241,-116.9767,17.43479,0.003597444
-106.1108,-88.04647,17.43511,0.00389019
