id,x,z
dorm_1_general_approach,72.1149,-465.460968
dorm_1_general_approach,72.33693,-465.575867
dorm_1_general_approach,72.55893,-465.690826
dorm_1_general_approach,72.7809143,-465.8058
dorm_1_general_approach,73.0029449,-465.920715
dorm_1_general_approach,73.2249756,-466.0357
dorm_1_general_approach,73.4469147,-466.150665
dorm_1_general_approach,73.6689453,-466.2656
dorm_1_general_approach,73.8909454,-466.380585
dorm_1_general_approach,74.1129456,-466.495544
dorm_1_general_approach,74.33496,-466.610474
dorm_1_general_approach,74.55696,-466.725433
dorm_1_general_approach,74.77898,-466.840363
dorm_1_general_approach,75.00096,-466.955353
dorm_1_general_approach,75.22298,-467.0703
dorm_1_general_approach,75.44498,-467.185242
dorm_1_general_approach,75.66696,-467.3002
dorm_1_general_approach,75.88896,-467.415161
dorm_1_general_approach,76.11096,-467.530121
dorm_1_general_approach,76.33298,-467.645081
dorm_1_general_approach,76.55496,-467.76
dorm_1_general_approach,76.77699,-467.874969
dorm_1_general_approach,76.99899,-467.989929
dorm_1_general_approach,77.22101,-468.104919
dorm_1_general_approach,77.44302,-468.219818
dorm_1_general_approach,75.92557,-471.150269
dorm_1_general_approach,75.70357,-471.035339
dorm_1_general_approach,75.48154,-470.9204
dorm_1_general_approach,75.25955,-470.8054
dorm_1_general_approach,75.03758,-470.69046
dorm_1_general_approach,74.81555,-470.5755
dorm_1_general_approach,74.5936,-470.4605
dorm_1_general_approach,74.37154,-470.345581
dorm_1_general_approach,74.14957,-470.230652
dorm_1_general_approach,73.927536,-470.115753
dorm_1_general_approach,73.7055359,-470.000732
dorm_1_general_approach,73.48357,-469.885864
dorm_1_general_approach,73.26152,-469.770874
dorm_1_general_approach,73.03952,-469.655884
dorm_1_general_approach,72.81755,-469.540924
dorm_1_general_approach,72.59558,-469.425934
dorm_1_general_approach,72.3735352,-469.311
dorm_1_general_approach,72.15155,-469.196045
dorm_1_general_approach,71.92955,-469.081116
dorm_1_general_approach,71.7075348,-468.966156
dorm_1_general_approach,71.48555,-468.851166
dorm_1_general_approach,71.26352,-468.736237
dorm_1_general_approach,71.04152,-468.621277
