object,x,z,area,grade
Road 471332807 restored connection,564.5462,-328.7589,4.46814,0.244111
Road 471332807 restored connection,562.5461,-328.2629,4.467773,0.2441124
Road 471332807 restored connection,564.5459,-327.2696,4.468049,0.2441015
Road 471332807 restored connection,563.0457,-326.6493,0.5584832,0.2452805
Road 471332807 restored connection,561.7957,-326.4634,0.1396179,0.2248317
Road 471332807 restored connection,561.2957,-326.3394,0.1396294,0.05156702
Road 471332807 restored connection,562.5457,-326.4012,0.2792359,0.2452629
Road 471332807 restored connection,564.5457,-326.5249,1.116989,0.2429858
Road 471332807 restored connection,561.1708,-326.8049,0.1396265,0.1768903
Road 471332807 restored connection,560.9207,-326.4947,0.1396265,0.0737725
Road 471332807 restored connection,561.5458,-326.7738,0.279253,0.1926348
Road 471332807 restored connection,560.8584,-327.2859,0.03490874,0.2408126
Road 471332807 restored connection,560.7334,-327.1308,0.03490874,0.06422669
Road 471332807 restored connection,561.0459,-327.2704,0.06980612,0.2452546
Road 471332807 restored connection,560.671,-327.5497,0.06982037,0.2192093
Road 471332807 restored connection,560.6084,-327.2239,0.0349116,0.07376267
Road 471332807 restored connection,560.7334,-327.379,0.0349116,0.2440944
Road 471332807 restored connection,560.6707,-326.6809,0.1396265,0.07377014
Road 471332807 restored connection,561.0458,-327.0221,0.069809,0.1859798
Road 471332807 restored connection,560.7958,-326.9601,0.06982037,0.08745342
Road 471332807 restored connection,562.0458,-327.146,1.117024,0.2452678
Road 471332807 restored connection,564.5456,-326.0284,1.116989,0.2429583
Road 471332807 restored connection,562.5457,-326.153,0.2792358,0.2309528
Road 471332807 restored connection,561.5457,-326.1532,0.2792358,0.189948
Road 471332807 restored connection,563.0456,-325.9047,0.5584946,0.2428952
Road 471332807 restored connection,565.5455,-325.5318,2.23391,0.2429647
Road 471332807 restored connection,563.2955,-325.222,0.2792644,0.2452615
Road 471332807 restored connection,562.7954,-325.098,0.279253,0.07210577
Road 471332807 restored connection,562.0454,-324.912,0.5585175,0.02435002
Road 471332807 restored connection,564.5454,-325.0356,1.117035,0.2429572
Road 471332807 restored connection,561.5455,-325.2844,0.558529,0.07377175
Road 471332807 restored connection,562.2955,-325.4704,0.2792759,0.07923409
Road 471332807 restored connection,562.7956,-325.5945,0.2792873,0.2514291
Road 471332807 restored connection,561.0456,-325.6569,1.117069,0.07377093
Road 471332807 restored connection,563.8577,-324.3065,0.0349045,0.2452637
Road 471332807 restored connection,563.7327,-324.1514,0.03490164,0.06574783
Road 471332807 restored connection,564.0452,-324.291,0.06982037,0.2431071
Road 471332807 restored connection,563.6703,-324.5703,0.06981184,0.2279851
Road 471332807 restored connection,563.6077,-324.2445,0.0349045,0.07433885
Road 471332807 restored connection,563.7328,-324.3996,0.03490736,0.2483171
Road 471332807 restored connection,564.2953,-324.4771,0.279253,0.2404557
Road 471332807 restored connection,565.0453,-324.6631,0.5585175,0.2404257
Road 471332807 restored connection,562.5453,-324.5395,1.117035,0.1335035
Road 471332807 restored connection,565.7952,-324.3527,0.5585232,0.2323726
Road 471332807 restored connection,566.2951,-323.732,0.2792474,0.1882354
Road 471332807 restored connection,566.2952,-324.2285,0.2792417,0.2350258
Road 471332807 restored connection,564.7952,-324.1046,0.2792644,0.2200434
Road 471332807 restored connection,564.0452,-324.1048,0.03491588,0.1848246
Road 471332807 restored connection,563.7952,-324.0428,0.0349102,0.09652793
Road 471332807 restored connection,564.1702,-324.0117,0.06982325,0.2010623
Road 471332807 restored connection,564.5452,-323.9185,0.1396351,0.2254831
Road 471332807 restored connection,565.5451,-323.7942,0.5585288,0.2214129
Road 471332807 restored connection,562.5451,-323.5467,1.116943,0.01066105
Road 471332807 restored connection,564.795,-323.4841,0.1396236,0.1592311
Road 471332807 restored connection,564.295,-323.3601,0.1396065,0.1166204
Road 471332807 restored connection,565.5451,-323.4219,0.2792358,0.1829211
Road 471332807 restored connection,564.0451,-323.5463,0.1396066,0.05598893
Road 471332807 restored connection,564.5451,-323.6703,0.1396179,0.1254241
Road 471332807 restored connection,563.7951,-323.7325,0.2792472,0.0294063
Road 471332807 restored connection,561.5452,-324.0433,2.233864,0.04179619
Road 471332807 restored connection,564.045,-322.9258,0.5585519,0.009017238
Road 471332807 restored connection,565.545,-323.1737,0.2792816,0.1762171
Road 471332807 restored connection,564.545,-323.1739,0.2792816,0.1235366
Road 471332807 restored connection,562.545,-323.0502,1.117127,0.007328415
Road 471332807 restored connection,566.0449,-322.677,1.117126,0.1811867
Road 471332807 restored connection,565.0449,-322.429,1.117092,0.02828817
Road 471332807 restored connection,562.5447,-322.0573,1.116898,0.007329079
Road 471332807 restored connection,564.5447,-322.0568,1.116898,0.0226264
