ax,az,bx,bz,cx,cz
495.418365,-578.6446,500.7709,-581.355652,494.746124,-579.971741
500.7709,-581.355652,500.0986,-582.683044,494.746124,-579.971741
494.746124,-579.971741,500.0986,-582.683044,494.07373,-581.299
500.0986,-582.683044,499.4262,-584.0103,494.07373,-581.299
494.07373,-581.299,499.4262,-584.0103,493.401459,-582.6263
499.4262,-584.0103,498.753937,-585.3376,493.401459,-582.6263
493.401459,-582.6263,498.753937,-585.3376,492.729065,-583.9536
498.753937,-585.3376,498.0816,-586.6648,492.729065,-583.9536
492.729065,-583.9536,498.0816,-586.6648,492.056732,-585.281067
498.0816,-586.6648,497.409332,-587.9921,492.056732,-585.281067
492.056732,-585.281067,497.409332,-587.9921,491.384521,-586.6082
497.409332,-587.9921,496.737,-589.3195,491.384521,-586.6082
491.384521,-586.6082,496.737,-589.3195,490.712158,-587.9355
496.737,-589.3195,496.064636,-590.6468,490.712158,-587.9355
490.712158,-587.9355,496.064636,-590.6468,490.0399,-589.262756
496.064636,-590.6468,495.392365,-591.97406,490.0399,-589.262756
490.0399,-589.262756,495.392365,-591.97406,489.367554,-590.589966
495.392365,-591.97406,494.719971,-593.3014,489.367554,-590.589966
489.367554,-590.589966,494.719971,-593.3014,488.69516,-591.9173
494.719971,-593.3014,494.047638,-594.6286,488.69516,-591.9173
488.69516,-591.9173,494.047638,-594.6286,488.022827,-593.2447
494.047638,-594.6286,493.375427,-595.95575,488.022827,-593.2447
488.022827,-593.2447,493.375427,-595.95575,487.350555,-594.572
493.375427,-595.95575,492.7031,-597.2832,487.350555,-594.572
487.350555,-594.572,492.7031,-597.2832,486.6782,-595.8993
492.7031,-597.2832,492.030731,-598.6105,486.6782,-595.8993
486.6782,-595.8993,492.030731,-598.6105,486.006,-597.2265
492.030731,-598.6105,491.3585,-599.9378,486.006,-597.2265
486.006,-597.2265,491.3585,-599.9378,485.3336,-598.5537
491.3585,-599.9378,490.686,-601.265137,485.3336,-598.5537
485.3336,-598.5537,490.686,-601.265137,484.661255,-599.881165
490.686,-601.265137,490.0138,-602.5922,484.661255,-599.881165
484.661255,-599.881165,490.0138,-602.5922,483.988953,-601.208435
490.0138,-602.5922,489.3415,-603.9196,483.988953,-601.208435
483.988953,-601.208435,489.3415,-603.9196,483.31665,-602.535645
489.3415,-603.9196,488.6692,-605.2468,483.31665,-602.535645
483.31665,-602.535645,488.6692,-605.2468,482.644318,-603.863037
488.6692,-605.2468,487.996857,-606.5742,482.644318,-603.863037
482.644318,-603.863037,487.996857,-606.5742,481.972,-605.1903
487.996857,-606.5742,487.324524,-607.9015,481.972,-605.1903
481.972,-605.1903,487.324524,-607.9015,481.2997,-606.5176
487.324524,-607.9015,486.652252,-609.22876,481.2997,-606.5176
481.2997,-606.5176,486.652252,-609.22876,480.627441,-607.844849
486.652252,-609.22876,485.979858,-610.556152,480.627441,-607.844849
480.627441,-607.844849,485.979858,-610.556152,479.955078,-609.172
485.979858,-610.556152,485.3075,-611.8834,479.955078,-609.172
479.955078,-609.172,485.3075,-611.8834,479.2827,-610.4993
485.3075,-611.8834,484.6352,-613.210632,479.2827,-610.4993
590.515137,-393.279144,586.8804,-398.0529,589.3435,-392.387054
586.8804,-398.0529,585.70874,-397.1608,589.3435,-392.387054
589.3435,-392.387054,585.70874,-397.1608,588.171936,-391.495056
585.70874,-397.1608,584.5372,-396.268738,588.171936,-391.495056
588.171936,-391.495056,584.5372,-396.268738,587.000366,-390.602936
584.5372,-396.268738,583.3656,-395.376678,587.000366,-390.602936
587.000366,-390.602936,583.3656,-395.376678,585.828735,-389.710876
583.3656,-395.376678,582.194,-394.484619,585.828735,-389.710876
585.828735,-389.710876,582.194,-394.484619,584.657166,-388.818817
582.194,-394.484619,581.0224,-393.59256,584.657166,-388.818817
584.657166,-388.818817,581.0224,-393.59256,583.485535,-387.926727
581.0224,-393.59256,579.850769,-392.70047,583.485535,-387.926727
583.485535,-387.926727,579.850769,-392.70047,582.313965,-387.034729
579.850769,-392.70047,578.6792,-391.8084,582.313965,-387.034729
582.313965,-387.034729,578.6792,-391.8084,581.142456,-386.14267
578.6792,-391.8084,577.507568,-390.9163,581.142456,-386.14267
581.142456,-386.14267,577.507568,-390.9163,579.9708,-385.250519
577.507568,-390.9163,576.33606,-390.024261,579.9708,-385.250519
579.9708,-385.250519,576.33606,-390.024261,578.7992,-384.358459
576.33606,-390.024261,575.1644,-389.1322,578.7992,-384.358459
578.7992,-384.358459,575.1644,-389.1322,577.6276,-383.466431
575.1644,-389.1322,573.992859,-388.2401,577.6276,-383.466431
577.6276,-383.466431,573.992859,-388.2401,576.456055,-382.574341
573.992859,-388.2401,572.8213,-387.348083,576.456055,-382.574341
576.456055,-382.574341,572.8213,-387.348083,575.2844,-381.682281
572.8213,-387.348083,571.649658,-386.456024,575.2844,-381.682281
575.2844,-381.682281,571.649658,-386.456024,574.112854,-380.7902
571.649658,-386.456024,570.4781,-385.563934,574.112854,-380.7902
574.112854,-380.7902,570.4781,-385.563934,572.9412,-379.898132
570.4781,-385.563934,569.306458,-384.671875,572.9412,-379.898132
572.9412,-379.898132,569.306458,-384.671875,571.769653,-379.0061
569.306458,-384.671875,568.1349,-383.7798,571.769653,-379.0061
571.769653,-379.0061,568.1349,-383.7798,570.5981,-378.114
568.1349,-383.7798,566.9633,-382.887756,570.5981,-378.114
570.5981,-378.114,566.9633,-382.887756,569.426453,-377.221954
566.9633,-382.887756,565.7917,-381.9957,569.426453,-377.221954
569.426453,-377.221954,565.7917,-381.9957,568.2549,-376.3299
565.7917,-381.9957,564.6201,-381.103577,568.2549,-376.3299
568.2549,-376.3299,564.6201,-381.103577,567.083252,-375.437775
564.6201,-381.103577,563.4485,-380.211517,567.083252,-375.437775
567.083252,-375.437775,563.4485,-380.211517,566.7786,-375.593048
563.4485,-380.211517,561.41,-378.272125,566.7786,-375.593048
566.7786,-375.593048,561.41,-378.272125,567.077,-375.408264
561.41,-378.272125,561.0774,-375.4771,567.077,-375.408264
567.077,-375.408264,561.0774,-375.4771,567.059937,-373.918274
561.0774,-375.4771,561.0603,-373.987366,567.059937,-373.918274
567.059937,-373.918274,561.0603,-373.987366,567.0427,-372.428345
561.0603,-373.987366,561.0431,-372.497437,567.0427,-372.428345
567.0427,-372.428345,561.0431,-372.497437,567.025635,-370.938477
561.0431,-372.497437,561.026,-371.007446,567.025635,-370.938477
567.025635,-370.938477,561.026,-371.007446,567.0085,-369.448547
561.026,-371.007446,561.00885,-369.517517,567.0085,-369.448547
567.0085,-369.448547,561.00885,-369.517517,566.9914,-367.958679
561.00885,-369.517517,560.99176,-368.027649,566.9914,-367.958679
566.9914,-367.958679,560.99176,-368.027649,566.974243,-366.4687
560.99176,-368.027649,560.9746,-366.537781,566.974243,-366.4687
566.974243,-366.4687,560.9746,-366.537781,566.9571,-364.978851
560.9746,-366.537781,560.957458,-365.047821,566.9571,-364.978851
566.9571,-364.978851,560.957458,-365.047821,566.94,-363.489
560.957458,-365.047821,560.940369,-363.557861,566.94,-363.489
566.94,-363.489,560.940369,-363.557861,566.9229,-361.998962
560.940369,-363.557861,560.9233,-362.068054,566.9229,-361.998962
566.9229,-361.998962,560.9233,-362.068054,566.9057,-360.509125
560.9233,-362.068054,560.906067,-360.5781,566.9057,-360.509125
566.9057,-360.509125,560.906067,-360.5781,566.8887,-359.0193
560.906067,-360.5781,560.889038,-359.088135,566.8887,-359.0193
566.8887,-359.0193,560.889038,-359.088135,566.8715,-357.529358
560.889038,-359.088135,560.8719,-357.598328,566.8715,-357.529358
566.8715,-357.529358,560.8719,-357.598328,566.854431,-356.039429
560.8719,-357.598328,560.8548,-356.1084,566.854431,-356.039429
566.854431,-356.039429,560.8548,-356.1084,566.8373,-354.5495
560.8548,-356.1084,560.837646,-354.618469,566.8373,-354.5495
566.8373,-354.5495,560.837646,-354.618469,566.8202,-353.0596
560.837646,-354.618469,560.820557,-353.128571,566.8202,-353.0596
566.8202,-353.0596,560.820557,-353.128571,566.80304,-351.569641
560.820557,-353.128571,560.8034,-351.638733,566.80304,-351.569641
566.80304,-351.569641,560.8034,-351.638733,566.7859,-350.079834
560.8034,-351.638733,560.786255,-350.1488,566.7859,-350.079834
566.7859,-350.079834,560.786255,-350.1488,566.7688,-348.589966
560.786255,-350.1488,560.769165,-348.658752,566.7688,-348.589966
566.7688,-348.589966,560.769165,-348.658752,566.7517,-347.099976
560.769165,-348.658752,560.7521,-347.168945,566.7517,-347.099976
566.7517,-347.099976,560.7521,-347.168945,566.734558,-345.610046
560.7521,-347.168945,560.7349,-345.679138,566.734558,-345.610046
566.734558,-345.610046,560.7349,-345.679138,566.7174,-344.120178
560.7349,-345.679138,560.7178,-344.189148,566.7174,-344.120178
566.7174,-344.120178,560.7178,-344.189148,566.7003,-342.630249
560.7178,-344.189148,560.7007,-342.699219,566.7003,-342.630249
566.7003,-342.630249,560.7007,-342.699219,566.683167,-341.14035
560.7007,-342.699219,560.683533,-341.20932,566.683167,-341.14035
566.683167,-341.14035,560.683533,-341.20932,566.6661,-339.650452
560.683533,-341.20932,560.666443,-339.719421,566.6661,-339.650452
566.6661,-339.650452,560.666443,-339.719421,566.6489,-338.160553
560.666443,-339.719421,560.6493,-338.229523,566.6489,-338.160553
566.6489,-338.160553,560.6493,-338.229523,566.631836,-336.670654
560.6493,-338.229523,560.6322,-336.739624,566.631836,-336.670654
566.631836,-336.670654,560.6322,-336.739624,566.6147,-335.1808
560.6322,-336.739624,560.615051,-335.249634,566.6147,-335.1808
566.6147,-335.1808,560.615051,-335.249634,566.597656,-333.6908
560.615051,-335.249634,560.598,-333.7599,566.597656,-333.6908
566.597656,-333.6908,560.598,-333.7599,566.5804,-332.2008
560.598,-333.7599,560.58075,-332.27002,566.5804,-332.2008
566.5804,-332.2008,560.58075,-332.27002,566.5633,-330.711
560.58075,-332.27002,560.56366,-330.779968,566.5633,-330.711
566.5633,-330.711,560.56366,-330.779968,566.546143,-329.221
560.56366,-330.779968,560.5465,-329.2901,566.546143,-329.221
84.3252945,-399.595734,89.84826,-401.940277,83.78378,-400.871338
89.84826,-401.940277,89.30673,-403.215942,83.78378,-400.871338
83.78378,-400.871338,89.30673,-403.215942,83.2422943,-402.146851
89.30673,-403.215942,88.76524,-404.491455,83.2422943,-402.146851
83.2422943,-402.146851,88.76524,-404.491455,82.70078,-403.4225
88.76524,-404.491455,88.22372,-405.7671,82.70078,-403.4225
82.70078,-403.4225,88.22372,-405.7671,82.15926,-404.698059
88.22372,-405.7671,87.6822,-407.042664,82.15926,-404.698059
82.15926,-404.698059,87.6822,-407.042664,81.6177444,-405.973663
87.6822,-407.042664,87.14068,-408.318268,81.6177444,-405.973663
81.6177444,-405.973663,87.14068,-408.318268,81.07622,-407.249268
87.14068,-408.318268,86.59917,-409.593872,81.07622,-407.249268
81.07622,-407.249268,86.59917,-409.593872,80.5347061,-408.524872
86.59917,-409.593872,86.05767,-410.869415,80.5347061,-408.524872
80.5347061,-408.524872,86.05767,-410.869415,79.99321,-409.8005
86.05767,-410.869415,85.51616,-412.14505,79.99321,-409.8005
79.99321,-409.8005,85.51616,-412.14505,79.45171,-411.076019
85.51616,-412.14505,84.97462,-413.4207,79.45171,-411.076019
79.45171,-411.076019,84.97462,-413.4207,78.91018,-412.3516
84.97462,-413.4207,84.43308,-414.696259,78.91018,-412.3516
78.91018,-412.3516,84.43308,-414.696259,78.36864,-413.6272
84.43308,-414.696259,83.89159,-415.9718,78.36864,-413.6272
78.36864,-413.6272,83.89159,-415.9718,77.8271255,-414.902832
