building,samples,max_gap_m,min_gap_m
Stone 250,12,0.1271007,-0.02708936
Stone 25,12,0.1373547,-0.02549088
Stone 29,12,0.1255044,-0.02926362
Stone 57,12,0.09223258,-0.004872441
4호관 | OSM 219982956_0,252,1.410922,-3.300175
Stone 113,12,0.09595001,0.008107066
2북관 | OSM r14633181_218264949_0,252,0,0
Biryong plaza | mapped entrance drafts,36,-0.04999995,-0.04999995
Stone 201,12,0.06837535,0.02634692
Stone 64,12,0.08008659,0.02375114
Lakeside bench 10,24,2.096153,1.885419
Stone 174,12,0.1720208,-0.03963768
Stone 6,12,0.172881,-0.030532
Stone 28,12,0.136546,-0.02719414
Stone 114,12,0.1098126,-0.01307213
Stone 38,12,0.08330619,0.01095665
Stone 99,12,0.05609596,0.04464805
Stone 156,12,0.1580991,0.07766235
Stone 9,12,0.1706094,-0.07547677
Stone 215,12,0.07028842,0.03344035
Stone 69,12,0.07721412,0.02515304
Stone 37,12,0.09674346,-0.001120687
Stone 209,12,0.08560443,0.02655101
Stone 32,12,0.1095914,-0.009600759
Stone 45,12,0.0957936,0.0067662
Inha Station | Exit 2 draft,12,0.1917353,-0.265399
Stone 228,12,0.1507442,-0.04846501
Stone 212,12,0.08732104,0.02279162
Stone 128,12,0.1305588,-5.25713E-05
Stone 119,12,0.1224183,-0.01648438
Stone 102,12,0.07906425,0.03001869
Stone 168,12,0.312682,-0.1423656
Stone 54,12,0.09081352,0.01069152
Stone 223,12,0.1284473,0.02533984
Stone 178,12,0.1204938,-0.0877372
Stone 226,12,0.1476905,-0.003916979
Stone 229,12,0.1832721,-0.05165792
Stone 16,12,0.1437329,-0.02669442
Stone 247,12,0.0642345,0.03723598
60주년기념관 | OSM 218189298_0,288,0,0
Stone 206,12,0.07907748,0.04866672
Stone 182,12,0.08376205,-0.08693993
서호관 | OSM 218188831_0,216,0,0
Stone 125,12,0.105914,0.009451747
Stone 81,12,0.07320678,0.0433625
Stone 221,12,0.1184757,-0.01156354
Stone 98,12,0.06801307,0.04422271
관중석 | OSM 1203054818_0,144,0,0
Stone 96,12,0.05877388,0.04396904
Stone 160,12,0.1871461,0.0106858
Stone 0,12,0.08639419,0.05000007
Stone 139,12,0.07961929,0.04957855
Stone 30,12,0.1300019,0.0007447004
Stone 21,12,0.1361016,-0.02741349
Stone 150,12,0.08071792,0.04992568
Lakeside bench 5,24,2.239902,1.965881
Stone 72,12,0.06909835,0.0309037
Stone 26,12,0.1191148,-0.02026474
Stone 155,12,0.1801652,-0.05961716
Stone 173,12,0.3756188,-0.1882602
Stone 203,12,0.07676196,0.02271152
Stone 190,12,0.1112412,0.01392448
2남관 | OSM 219983082_0,756,0,0
주차관리실 | OSM 1098539003_0,144,0,0
Stone 141,12,0.1250294,0.03542602
Stone 198,12,0.07161975,0.03086162
Stone 116,12,0.1149911,-0.01890481
Stone 202,12,0.07478404,0.021487
Stone 19,12,0.1387833,-0.03228867
하이테크센터 | OSM 218081857_0,27,0,0
Stone 117,12,0.1195821,-0.02148736
Stone 43,12,0.08895004,0.005715251
Stone 131,12,0.09384811,0.06348121
Stone 24,12,0.1189202,-0.01429093
Stone 124,12,0.1137799,-0.02047455
MAIN GATE | proposed layout,360,-0.05000019,-0.05499983
Stone 47,12,0.08849609,0.01423538
Stone 118,12,0.1202058,-0.02231896
Stone 123,12,0.111987,0.01212394
Stone 144,12,0.1187123,0.00799644
Stone 12,12,0.1547192,-0.04883301
나빌레관 | OSM 218188169_0,432,0,0
Stone 134,12,0.120654,-0.001742482
Stone 73,12,0.06970489,0.02307212
Stone 61,12,0.08548248,0.009261012
