object,triangle,x,y,z,areaM2,grade
"Road 471332807 restored connection",0,564.546265,10.3208685,-329.0071,1.11703491,0.2493584
"Road 471332807 restored connection",1,562.546265,10.0854111,-329.007538,1.11703491,0.224573731
"Road 471332807 restored connection",2,565.546143,10.3576241,-328.510468,2.23409271,0.2554438
"Road 471332807 restored connection",3,562.5461,9.917304,-328.014679,1.11694336,0.196908742
"Road 471332807 restored connection",4,564.5461,10.1182747,-328.014221,1.11694336,0.228071615
"Road 471332807 restored connection",5,561.5462,9.921195,-328.511322,2.233864,0.163550183
"Road 471332807 restored connection",6,564.045959,9.922924,-327.393768,0.558506131,0.237234309
"Road 471332807 restored connection",7,565.045959,10.1071167,-327.641785,0.5585175,0.290047735
"Road 471332807 restored connection",8,562.545959,9.820633,-327.518219,1.117035,0.2153576
"Road 471332807 restored connection",9,565.545837,10.0489273,-327.0211,2.23402429,0.250756025
"Road 471332807 restored connection",10,562.5457,9.64881,-326.52533,1.11698925,0.2005944
"Road 471332807 restored connection",11,564.5457,9.815957,-326.524872,1.11698925,0.233897656
"Road 471332807 restored connection",12,561.545837,9.680809,-327.022,2.23402429,0.15492028
"Road 471332807 restored connection",13,564.0456,9.585828,-325.780365,0.139618009,0.222443461
"Road 471332807 restored connection",14,564.5456,9.664889,-325.904327,0.139629379,0.252212346
"Road 471332807 restored connection",15,563.7956,9.602295,-325.966553,0.279258668,0.210454017
"Road 471332807 restored connection",16,565.045654,9.798584,-326.152435,0.5584717,0.287564069
"Road 471332807 restored connection",17,562.5456,9.552376,-326.0289,1.11698914,0.19617857
"Road 471332807 restored connection",18,565.5455,9.739685,-325.531769,2.23390985,0.246735618
"Road 471332807 restored connection",19,562.5454,9.378909,-325.03598,1.11703491,0.205186814
"Road 471332807 restored connection",20,565.0454,9.540806,-324.911346,0.558517456,0.186519518
"Road 471332807 restored connection",21,563.7955,9.42698,-325.097778,0.27926442,0.217410892
"Road 471332807 restored connection",22,564.2955,9.504139,-325.2218,0.279235929,0.289652735
"Road 471332807 restored connection",23,561.5455,9.437041,-325.532654,2.23413849,0.154144749
"Road 471332807 restored connection",24,563.7952,9.279091,-324.3531,0.27926442,0.196349189
"Road 471332807 restored connection",25,564.295349,9.35133,-324.4771,0.279252976,0.287159175
"Road 471332807 restored connection",26,565.045349,9.489525,-324.663116,0.558517456,0.294163138
"Road 471332807 restored connection",27,562.5453,9.281789,-324.53952,1.11703491,0.18752636
"Road 471332807 restored connection",28,565.7952,9.51817,-324.3527,0.558523238,0.225698665
"Road 471332807 restored connection",29,566.2951,9.488435,-323.732,0.279247373,0.148901314
"Road 471332807 restored connection",30,566.2952,9.558209,-324.228455,0.279241681,0.233034536
"Road 471332807 restored connection",31,564.6702,9.331901,-324.197754,0.139637932,0.227519423
"Road 471332807 restored connection",32,564.920166,9.31969452,-323.887421,0.06981184,0.155850828
"Road 471332807 restored connection",33,564.9202,9.352008,-324.135651,0.0698090047,0.231570274
"Road 471332807 restored connection",34,563.920166,9.230739,-324.073822,0.06982325,0.2517278
"Road 471332807 restored connection",35,564.170166,9.24013,-324.0117,0.06982325,0.188056573
"Road 471332807 restored connection",36,564.545166,9.282048,-323.918549,0.139635131,0.210104167
"Road 471332807 restored connection",37,565.7951,9.416083,-323.608,0.279252976,0.1390568
"Road 471332807 restored connection",38,565.420166,9.390513,-323.887329,0.139637932,0.151725531
"Road 471332807 restored connection",39,565.1702,9.394672,-324.197662,0.06982037,0.242973134
"Road 471332807 restored connection",40,565.170166,9.362359,-323.949432,0.0698232055,0.17710574
"Road 471332807 restored connection",41,562.5451,9.194065,-323.546661,1.11694336,0.0162139852
"Road 471332807 restored connection",42,564.795044,9.288373,-323.4841,0.139623612,0.127630964
"Road 471332807 restored connection",43,564.045044,9.21589,-323.360138,0.06980896,0.04283408
