row,worldX,worldZ,designY,terrainY
0,551.744,-391.0151,9.196982,9.05341
0,552.1453,-391.1624,9.192428,9.05341
0,552.5466,-391.3098,9.188278,9.05341
0,552.9479,-391.4572,9.184528,9.05341
0,553.3492,-391.6045,9.18117,9.05341
0,553.7504,-391.7518,9.178188,9.05341
0,554.1517,-391.8992,9.175569,9.05341
0,554.553,-392.0465,9.173291,9.053339
0,554.9543,-392.1939,9.171334,9.053114
0,555.3556,-392.3412,9.169671,9.052889
0,555.7569,-392.4886,9.168276,9.045549
0,556.1581,-392.6359,9.167116,9.034002
0,556.5594,-392.7833,9.16616,9.029505
0,556.9608,-392.9306,9.165374,9.025007
0,557.362,-393.078,9.164721,9.013796
0,557.7633,-393.2253,9.164164,9.000927
0,558.1646,-393.3727,9.163666,8.98605
0,558.5659,-393.52,9.163187,8.962252
0,558.9672,-393.6674,9.162689,8.905973
0,559.1418,-393.1917,9.162022,8.944084
0,559.3166,-392.7159,9.161211,8.982189
0,559.4913,-392.2401,9.160194,9.001459
0,559.6659,-391.7643,9.158914,9.013405
0,559.8406,-391.2886,9.157313,9.020224
0,560.0153,-390.8128,9.155343,9.026098
0,560.1901,-390.3371,9.152955,9.022253
0,560.3647,-389.8613,9.150107,9.022005
0,560.5394,-389.3855,9.146767,9.026955
0,560.7141,-388.9098,9.142901,9.02121
0,560.8888,-388.434,9.138491,9.015465
0,561.0635,-387.9583,9.133518,9.010738
0,561.2382,-387.4825,9.127975,9.016605
0,561.413,-387.0067,9.121861,9.022476
0,561.5876,-386.531,9.115182,9.028345
0,561.7623,-386.0552,9.10795,9.029207
0,561.937,-385.5794,9.100186,9.0313
0,562.1116,-385.1037,9.091917,9.022747
0,562.2864,-384.628,9.083177,9.007822
0,562.4611,-384.1522,9.074004,8.992912
0,562.6357,-383.6764,9.064444,8.989853
0,562.8104,-383.2007,9.054546,8.992365
0,563.1777,-383.3355,9.046709,8.943949
0,563.5449,-383.4704,9.03873,8.895546
0,563.9121,-383.6052,9.030635,8.847143
0,564.2794,-383.74,9.022453,8.828873
0,564.6467,-383.8749,9.014214,8.827353
0,565.0139,-384.0098,9.005946,8.826622
0,565.3812,-384.1446,8.99768,8.83601
0,565.7484,-384.2794,8.989444,8.843702
0,566.1157,-384.4143,8.981269,8.827551
0,566.4828,-384.5491,8.973183,8.822544
0,566.8501,-384.684,8.965214,8.817535
0,567.2174,-384.8189,8.95739,8.811808
0,567.5846,-384.9537,8.949738,8.796841
0,567.9518,-385.0886,8.942282,8.781868
0,568.3191,-385.2234,8.935044,8.769823
0,568.6863,-385.3582,8.928049,8.758694
0,569.0536,-385.4931,8.921315,8.752449
0,569.4208,-385.6279,8.914862,8.746208
0,569.7881,-385.7628,8.908703,8.739962
0,570.1553,-385.8976,8.902853,8.732059
0,570.5225,-386.0325,8.897324,8.721548
0,570.8898,-386.1673,8.892123,8.709942
0,571.257,-386.3022,8.887259,8.698334
0,571.6243,-386.437,8.882734,8.687384
1,551.5889,-391.4375,9.187702,9.05341
1,552.0137,-391.5935,9.182652,9.05341
1,552.4384,-391.7494,9.178013,9.05341
1,552.8632,-391.9054,9.173779,9.05341
1,553.288,-392.0614,9.169939,9.05341
1,553.7127,-392.2173,9.166482,9.05341
1,554.1375,-392.3733,9.16339,9.052839
1,554.5622,-392.5293,9.160645,9.052603
1,554.9869,-392.6852,9.158223,9.052364
1,555.4117,-392.8412,9.156098,9.044796
1,555.8365,-392.9972,9.154242,9.027718
1,556.2612,-393.1531,9.152622,9.018217
1,556.686,-393.3091,9.151206,9.013456
1,557.1107,-393.4651,9.14996,8.99991
1,557.5355,-393.621,9.148845,8.98629
1,557.9602,-393.777,9.147824,8.972666
1,558.3849,-393.9329,9.146859,8.93203
