localX,worldX,worldY,worldZ,road,roadY
-20,561.3793,8.205799,-395.5118,,
-19,560.4405,8.403431,-395.1671,,
-18,559.5018,8.602783,-394.8224,,
-17,558.5631,8.781454,-394.4778,,
-16,557.6244,8.932253,-394.1331,,
-15,556.6857,8.991596,-393.7883,,
-14,555.7469,9.016685,-393.4437,,
-13,554.8082,9.051733,-393.099,,
-12,553.8695,9.052458,-392.7543,,
-11,552.9308,9.05341,-392.4096,,
-10,551.992,9.05341,-392.0649,,
-9,551.0533,9.05341,-391.7202,,
-8,550.1146,9.05341,-391.3755,,
-7,549.1759,9.05341,-391.0309,,
-6,548.2372,9.05341,-390.6862,,
-5,547.2985,9.05341,-390.3415,,
-4,546.3597,9.05341,-389.9968,,
-3,545.421,9.05341,-389.6521,,
-2,544.4823,9.05341,-389.3074,,
-1,543.5436,9.05341,-388.9627,,
0,542.6049,9.05341,-388.618,,
1,541.6663,9.05341,-388.2734,,
2,540.7274,9.05341,-387.9286,,
3,539.7887,9.05341,-387.584,,
4,538.85,9.05341,-387.2393,,
5,537.9113,9.048271,-386.8946,,
6,536.9726,9.020063,-386.5499,,
7,536.0339,9.036131,-386.2053,,
8,535.0952,9.017355,-385.8605,,
9,534.1564,8.992893,-385.5158,,
10,533.2177,8.985933,-385.1712,,
11,532.279,8.974874,-384.8265,,
12,531.3403,8.87014,-384.4818,,
13,530.4016,8.783129,-384.1371,,
14,529.4628,8.682411,-383.7924,,
15,528.5241,8.574263,-383.4477,,
16,527.5854,8.546127,-383.103,,
17,526.6467,8.520763,-382.7583,,
18,525.7079,8.514902,-382.4137,,
19,524.7693,8.537552,-382.069,,
20,523.8305,8.564634,-381.7243,,
21,522.8918,8.582312,-381.3796,,
22,521.9531,8.66177,-381.0349,,
23,521.0144,8.719505,-380.6902,,
24,520.0757,8.842052,-380.3455,,
25,519.137,8.964544,-380.0009,,
26,518.1982,8.964903,-379.6561,,
27,517.2595,8.964903,-379.3114,,
28,516.3208,8.964903,-378.9668,,
29,515.3821,8.666937,-378.6221,,
30,514.4434,8.251369,-378.2774,,
31,513.5046,7.83592,-377.9327,,
32,512.5659,7.420475,-377.588,,
33,511.6272,7.02697,-377.2433,,
34,510.6885,6.63348,-376.8987,,
35,509.7498,6.257982,-376.554,,
36,508.8111,5.890932,-376.2093,,
37,507.8724,5.555513,-375.8646,,
38,506.9337,5.363928,-375.5199,,
39,505.9949,5.137133,-375.1752,,
40,505.0562,4.926174,-374.8305,,
