rear_gate_general, forward paving distance=2.5, height=-0.1980725
rear_gate_accessible, forward paving distance=-1, height=0
building_5_general, forward paving distance=3, height=-5.007936
building_5_accessible, forward paving distance=4.5, height=-5.007936
main_gate_general, forward paving distance=-1, height=-5.108809
main_gate_accessible, forward paving distance=0.5, height=-5.016189
anniversary_60_general, forward paving distance=7, height=-2.053469
anniversary_60_accessible, forward paving distance=8, height=-2.04755
biryong_plaza_general, forward paving distance=9, height=2.483378
biryong_plaza_accessible, forward paving distance=-1, height=2.182816
hitech_general, forward paving distance=-1, height=0
hitech_accessible, forward paving distance=-1, height=0
dorm_1_general, forward paving distance=-1, height=0
dorm_1_accessible, forward paving distance=-1, height=0
building_2_general, forward paving distance=6.5, height=-1.946779
building_2_accessible, forward paving distance=1.5, height=-1.955804
inha_station_general_exit_7, forward paving distance=-1, height=0
dorm_2_general, forward paving distance=-1, height=0
dorm_2_accessible, forward paving distance=-1, height=0
