entrance,terminal_samples,paving_hits,min_gap_m,max_gap_m,status
rear_gate_general,33,33,0.004999995,0.005000025,surface_contact_only
rear_gate_accessible,33,0,,,unresolved_in_this_surface_audit
building_5_general,33,33,0.004999638,0.005000591,surface_contact_only
building_5_accessible,33,33,0.004999638,0.005000114,surface_contact_only
main_gate_general,33,33,0.004999638,0.005000114,surface_contact_only
main_gate_accessible,33,33,0.004628181,0.005000114,surface_contact_only
anniversary_60_general,33,33,0.004999876,0.005000353,surface_contact_only
anniversary_60_accessible,33,33,0.004999638,0.005000353,surface_contact_only
biryong_plaza_general,33,33,0.004999399,0.005002499,surface_contact_only
biryong_plaza_accessible,33,0,,,unresolved_in_this_surface_audit
hitech_general,33,0,,,unresolved_in_this_surface_audit
hitech_accessible,33,0,,,unresolved_in_this_surface_audit
dorm_1_general,33,0,,,unresolved_in_this_surface_audit
dorm_1_accessible,33,0,,,unresolved_in_this_surface_audit
building_2_general,33,33,0.004999995,0.01250899,surface_contact_only
building_2_accessible,33,33,0.004946947,0.004999995,surface_contact_only
inha_station_general_exit_7,33,0,,,unresolved_in_this_surface_audit
dorm_2_general,33,0,,,unresolved_in_this_surface_audit
dorm_2_accessible,33,0,,,unresolved_in_this_surface_audit
