entrance,endpoint_x,endpoint_z,pedestrian_hits,nearest_gap_m
rear_gate_general,257.8414,54.28922,0,999
rear_gate_accessible,250.181,72.7171,0,999
building_5_general,31.39493,132.2783,0,999
building_5_accessible,-18.35988,154.5367,1,0.27
main_gate_general,-33.98403,-318.218,0,999
main_gate_accessible,-12.82058,-316.548,0,999
anniversary_60_general,75.82001,79.22137,0,999
anniversary_60_accessible,63.1188,55.52496,0,999
biryong_plaza_general,246.0287,-103.0783,0,999
biryong_plaza_accessible,245.0566,-158.1022,0,999
hitech_general,355.202,29.51722,0,999
hitech_accessible,321.8955,45.00565,0,999
dorm_1_general,76.52446,-469.6024,0,999
dorm_1_accessible,83.92638,-455.1337,0,999
building_2_general,195.49,59.96545,0,999
building_2_accessible,174.9804,71.17426,0,999
inha_station_general_exit_7,-286.0683,-320.9227,0,999
dorm_2_general,560.4358,-312.7108,0,999
dorm_2_accessible,560.4358,-302.2009,0,999
