portal_local_x,portal_local_z,world_x,world_z,terrain_y
-2,3,351.0271,25.28276,0.1234207
-1.5,3,351.4805,25.07191,0.1234207
-1,3,351.9339,24.86106,0.1234207
-0.5,3,352.3873,24.65025,0.1234207
0,3,352.8406,24.43941,0.1234207
0.5,3,353.294,24.22858,0.1234207
1,3,353.7474,24.01775,0.1234207
1.5,3,354.2007,23.80692,0.1234207
2,3,354.6541,23.59609,0.1234207
2.5,3,355.1075,23.38526,0.1234207
3,3,355.5609,23.17443,0.1234207
3.5,3,356.0143,22.96358,0.1234207
4,3,356.4676,22.75275,0.1234207
4.5,3,356.921,22.54193,0.1234207
5,3,357.3744,22.33108,0.1234207
5.5,3,357.8278,22.12027,0.1234207
6,3,358.2811,21.90943,0.1234207
6.5,3,358.7345,21.6986,0.1234207
7,3,359.1879,21.48776,0.1234207
7.5,3,359.6413,21.27691,0.1234207
8,3,360.0947,21.06609,0.1469822
8.5,3,360.548,20.85526,0.2597198
9,3,361.0014,20.64443,0.2837067
9.5,3,361.4548,20.4336,0.2312698
10,3,361.9081,20.22276,0.178833
10.5,3,362.3615,20.01193,0.129755
11,3,362.8149,19.80109,0.1234207
11.5,3,363.2683,19.59027,0.1234207
12,3,363.7216,19.37942,0.1234207
12.5,3,364.175,19.16861,0.169632
13,3,364.6284,18.95777,0.2893181
13.5,3,365.0818,18.74693,0.32061
14,3,365.5352,18.53611,0.2649555
14.5,3,365.9885,18.32528,0.2092857
15,3,366.4419,18.11445,0.1747627
15.5,3,366.8953,17.9036,0.1234207
16,3,367.3486,17.69277,0.1234207
16.5,3,367.802,17.48194,0.1234207
17,3,368.2554,17.2711,0.1234207
17.5,3,368.7088,17.06029,0.1234207
18,3,369.1622,16.84944,0.1234207
18.5,3,369.6155,16.63862,0.1234207
19,3,370.0689,16.42779,0.1324558
19.5,3,370.5223,16.21693,0.1518879
20,3,370.9756,16.00611,0.1242218
20.5,3,371.429,15.79528,0.1234207
21,3,371.8824,15.58445,0.1234207
21.5,3,372.3358,15.37362,0.1234207
22,3,372.7892,15.16277,0.1234207
22.5,3,373.2426,14.95195,0.1234207
23,3,373.6959,14.74112,0.1234207
23.5,3,374.1493,14.53031,0.1234207
24,3,374.6027,14.31944,0.1234207
24.5,3,375.0561,14.10861,0.1234207
25,3,375.5094,13.89778,0.1234207
25.5,3,375.9628,13.68695,0.1234207
26,3,376.4162,13.47613,0.1234207
26.5,3,376.8696,13.26529,0.1234207
27,3,377.3229,13.05447,0.1234207
27.5,3,377.7763,12.84364,0.1234207
28,3,378.2297,12.63278,0.1237717
28.5,3,378.683,12.42196,0.1240654
29,3,379.1364,12.21113,0.1237431
29.5,3,379.5898,12.0003,0.1234207
30,3,380.0432,11.78946,0.1234875
-2,3.5,351.238,25.73611,0.1234207
-1.5,3.5,351.6913,25.52528,0.1234207
-1,3.5,352.1447,25.31445,0.1234207
-0.5,3.5,352.5981,25.10362,0.1234207
0,3.5,353.0515,24.89279,0.1234207
0.5,3.5,353.5049,24.68197,0.1234207
1,3.5,353.9582,24.47112,0.1234207
1.5,3.5,354.4116,24.26029,0.1234207
2,3.5,354.865,24.04946,0.1234207
2.5,3.5,355.3184,23.83861,0.1234207
3,3.5,355.7717,23.6278,0.1234207
3.5,3.5,356.2251,23.41696,0.1234207
4,3.5,356.6785,23.20613,0.1234207
4.5,3.5,357.1318,22.9953,0.1234207
5,3.5,357.5852,22.78447,0.1234207
5.5,3.5,358.0386,22.57362,0.1322498
6,3.5,358.492,22.36279,0.2064629
