name,x,y,z
Stone 0,227.2058,3.49112,-49.69797
Stone 1,226.2942,3.542198,-49.17703
Stone 2,226.7058,3.448727,-50.57297
Stone 3,225.7942,3.499804,-50.05203
Stone 4,226.2058,3.406334,-51.44797
Stone 5,225.2942,3.457411,-50.92703
Stone 6,225.7058,3.365664,-52.32297
Stone 7,224.7942,3.415018,-51.80203
Stone 8,225.2058,3.327946,-53.19797
Stone 9,224.2942,3.37624,-52.67703
Stone 10,224.7058,3.290224,-54.07297
Stone 11,223.7942,3.33852,-53.55203
Stone 12,224.2058,3.252505,-54.94797
Stone 13,223.2942,3.300801,-54.42703
Stone 14,223.7058,3.214785,-55.82297
Stone 15,222.7942,3.263079,-55.30203
Stone 16,223.386,3.16844,-56.6515
Stone 17,222.364,3.210924,-56.411
Stone 18,223.136,2.955687,-57.714
Stone 19,222.114,3.157492,-57.4735
Stone 20,222.886,2.742934,-58.7765
Stone 21,221.864,3.025618,-58.536
Stone 22,222.636,2.530178,-59.839
Stone 23,221.614,2.812863,-59.5985
Stone 24,222.386,2.501417,-60.9015
Stone 25,221.364,2.735022,-60.661
Stone 26,222.136,2.505518,-61.964
Stone 27,221.114,2.739123,-61.7235
Stone 28,221.886,2.509621,-63.0265
Stone 29,220.864,2.743225,-62.786
Stone 30,221.636,2.51372,-64.089
Stone 31,220.614,2.747324,-63.8485
Stone 32,221.386,2.517821,-65.1515
Stone 33,220.364,2.751427,-64.911
Stone 34,221.136,2.521923,-66.214
Stone 35,220.114,2.755528,-65.9735
Stone 36,220.886,2.524164,-67.2765
Stone 37,219.864,2.731251,-67.036
Stone 38,220.636,2.511595,-68.339
Stone 39,219.614,2.683785,-68.0985
Stone 40,220.386,2.483292,-69.4015
Stone 41,219.364,2.621571,-69.161
Stone 42,220.136,2.454991,-70.464
Stone 43,219.114,2.548062,-70.2235
Stone 44,219.886,2.406071,-71.5265
Stone 45,218.864,2.474554,-71.286
Stone 46,219.636,2.332564,-72.589
Stone 47,218.614,2.401043,-72.3485
Stone 48,219.3116,2.260384,-73.67941
Stone 49,218.3248,2.336701,-73.32059
Stone 50,218.9479,2.197361,-74.67941
Stone 51,217.9612,2.273686,-74.32059
Stone 52,218.5843,2.134346,-75.67941
Stone 53,217.5975,2.210669,-75.32059
Stone 54,218.2207,2.106064,-76.67941
Stone 55,217.2339,2.164042,-76.32059
Stone 56,217.857,2.09417,-77.67941
Stone 57,216.8702,2.152146,-77.32059
Stone 58,217.4934,2.07568,-78.67941
Stone 59,216.5066,2.140251,-78.32059
Stone 60,217.1298,2.039509,-79.67941
Stone 61,216.143,2.128355,-79.32059
Stone 62,216.7661,2.003338,-80.67941
Stone 63,215.7793,2.11265,-80.32059
Stone 64,216.4025,1.967165,-81.67941
Stone 65,215.4157,2.076479,-81.32059
Stone 66,216.0388,1.930994,-82.67941
Stone 67,215.0521,2.040308,-82.32059
Stone 68,215.6752,1.894822,-83.67941
Stone 69,214.6884,2.004126,-83.32059
Stone 70,215.3041,1.878022,-84.68434
Stone 71,214.3209,1.977414,-84.31566
Stone 72,214.9291,1.870678,-85.68434
Stone 73,213.9459,1.970068,-85.31566
Stone 74,214.5541,1.863335,-86.68434
Stone 75,213.5709,1.962725,-86.31566
Stone 76,214.1791,1.85599,-87.68434
Stone 77,213.1959,1.955382,-87.31566
Stone 78,213.8041,1.848647,-88.68434
Stone 79,212.8209,1.948038,-88.31566
Stone 80,213.4291,1.841303,-89.68434
Stone 81,212.4459,1.940693,-89.31566
Stone 82,213.0541,1.83396,-90.68434
Stone 83,212.0709,1.93335,-90.31566
Stone 84,212.6791,1.791817,-91.68434
Stone 85,211.6959,1.906519,-91.31566
Stone 86,212.0986,1.810154,-92.74358
Stone 87,211.2586,1.886357,-92.11357
Stone 88,211.4557,1.808537,-93.60072
Stone 89,210.6157,1.88031,-92.97071
Stone 90,210.8129,1.794718,-94.45786
Stone 91,209.9729,1.874258,-93.82786
Stone 92,210.17,1.780901,-95.315
Stone 93,209.33,1.867669,-94.685
Stone 94,209.5271,1.767092,-96.17214
Stone 95,208.6871,1.853854,-95.54214
Stone 96,208.8843,1.753273,-97.02929
Stone 97,208.0443,1.840033,-96.39928
Stone 98,208.2414,1.739458,-97.88643
Stone 99,207.4014,1.826226,-97.25642
Stone 100,207.5986,1.725638,-98.74358
Stone 101,206.7586,1.812405,-98.11357
Stone 102,206.9557,1.711829,-99.60072
Stone 103,206.1157,1.79859,-98.97071
Stone 104,206.3129,1.676873,-100.4579
Stone 105,205.4729,1.784769,-99.82786
Stone 106,205.67,1.623492,-101.315
Stone 107,204.83,1.739342,-100.685
Stone 108,205.0271,1.570118,-102.1721
Stone 109,204.1871,1.685959,-101.5421
Stone 110,204.3843,1.51673,-103.0293
Stone 111,203.5443,1.645958,-102.3993
Stone 112,203.7414,1.470944,-103.8864
Stone 113,202.9014,1.611472,-103.2564
Stone 114,202.7348,1.470911,-104.7196
Stone 115,202.2652,1.611714,-103.7804
Stone 116,201.7348,1.505627,-105.2196
Stone 117,201.2652,1.646431,-104.2804
Stone 118,200.7348,1.540345,-105.7196
Stone 119,200.2652,1.681145,-104.7804
Stone 120,199.7348,1.57506,-106.2196
Stone 121,199.2652,1.715861,-105.2804
Stone 122,198.7348,1.609774,-106.7196
Stone 123,198.2652,1.750578,-105.7804
Stone 124,197.7348,1.644492,-107.2196
Stone 125,197.2652,1.745253,-106.2804
Stone 126,196.7348,1.679207,-107.7196
Stone 127,196.2652,1.735907,-106.7804
Stone 128,195.7348,1.717678,-108.2196
Stone 129,195.2652,1.742539,-107.2804
Stone 130,194.7348,1.734656,-108.7196
Stone 131,194.2652,1.754935,-107.7804
Stone 132,193.7348,1.751631,-109.2196
Stone 133,193.2652,1.769902,-108.2804
Stone 134,192.7348,1.768607,-109.7196
Stone 135,192.2652,1.786877,-108.7804
Stone 136,191.7348,1.785584,-110.2196
Stone 137,191.2652,1.803854,-109.2804
Stone 138,190.8723,1.799227,-110.7644
Stone 139,190.2277,1.820273,-109.9356
Stone 140,189.9723,1.812313,-111.4644
Stone 141,189.3277,1.833357,-110.6356
Stone 142,189.0723,1.8254,-112.1644
Stone 143,188.4277,1.846442,-111.3356
Stone 144,188.1723,1.838482,-112.8644
Stone 145,187.5277,1.862408,-112.0356
Stone 146,187.2723,1.856009,-113.5644
Stone 147,186.6277,1.880989,-112.7356
Stone 148,186.3723,1.874588,-114.2644
Stone 149,185.7277,1.899569,-113.4356
Stone 150,185.4723,1.893168,-114.9644
Stone 151,184.8277,1.918148,-114.1356
Stone 152,184.5723,1.911747,-115.6644
Stone 153,183.9277,1.936724,-114.8356
Stone 154,183.6723,1.931158,-116.3644
Stone 155,183.0277,1.955302,-115.5356
Stone 156,182.7723,1.95134,-117.0644
Stone 157,182.1277,1.974421,-116.2356
Stone 158,182.1512,1.964016,-117.7402
Stone 159,181.2654,1.992005,-117.1765
Stone 160,181.5679,1.974095,-118.6569
Stone 161,180.6821,2.002081,-118.0931
Stone 162,180.9846,1.984171,-119.5735
Stone 163,180.0988,2.01216,-119.0098
Stone 164,180.4012,1.994252,-120.4902
Stone 165,179.5154,2.019652,-119.9265
Stone 166,179.8179,2.003357,-121.4069
Stone 167,178.9321,2.026612,-120.8431
Stone 168,179.2346,2.010317,-122.3235
Stone 169,178.3488,2.033574,-121.7598
Stone 170,178.6512,2.017281,-123.2402
Stone 171,177.7654,2.040537,-122.6765
Stone 172,178.0679,2.026099,-124.1569
Stone 173,177.1821,2.047497,-123.5931
Stone 174,177.4846,2.0439,-125.0735
Stone 175,176.5988,2.060492,-124.5098
Stone 176,176.9012,2.061703,-125.9902
Stone 177,176.0154,2.078293,-125.4265
Stone 178,176.3179,2.079508,-126.9069
Stone 179,175.4321,2.096094,-126.3431
Stone 180,175.7346,2.097309,-127.8235
Stone 181,174.8488,2.113899,-127.2598
Stone 182,175.6457,2.102013,-128.4181
Stone 183,174.627,2.126351,-128.6728
Stone 184,175.9184,2.092442,-129.509
Stone 185,174.8998,2.121586,-129.7637
Stone 186,176.1911,2.082869,-130.5999
Stone 187,175.1725,2.112015,-130.8546
Stone 188,176.4639,2.073298,-131.6908
Stone 189,175.4452,2.102446,-131.9455
Stone 190,176.7366,2.086987,-132.7818
Stone 191,175.718,2.123709,-133.0364
Stone 192,177.0093,2.109879,-133.8727
Stone 193,175.9907,2.146599,-134.1273
Stone 194,177.282,2.134548,-134.9636
Stone 195,176.2634,2.169491,-135.2182
Stone 196,177.5548,2.16732,-136.0545
Stone 197,176.5361,2.198508,-136.3092
Stone 198,177.8275,2.200094,-137.1454
Stone 199,176.8089,2.231282,-137.4001
Stone 200,178.1002,2.23287,-138.2363
Stone 201,177.0816,2.264055,-138.491
Stone 202,178.373,2.265642,-139.3272
Stone 203,177.3543,2.296831,-139.5819
Stone 204,178.7445,2.275278,-139.8265
Stone 205,178.2155,2.254599,-140.7335
Stone 206,179.7045,2.248867,-140.3865
Stone 207,179.1755,2.248291,-141.2935
Stone 208,180.6645,2.238623,-140.9465
Stone 209,180.1355,2.319384,-141.8535
Stone 210,181.6245,2.182959,-141.5065
Stone 211,181.0955,2.26372,-142.4135
Stone 212,182.5845,2.127295,-142.0665
Stone 213,182.0555,2.208058,-142.9735
Stone 214,183.5445,2.071621,-142.6265
Stone 215,183.0155,2.152382,-143.5335
Stone 216,184.5045,2.015955,-143.1865
Stone 217,183.9755,2.102112,-144.0935
Stone 218,185.4645,2.054999,-143.7465
Stone 219,184.9355,2.165318,-144.6535
Stone 220,186.4245,2.118204,-144.3065
Stone 221,185.8955,2.228522,-145.2135
Stone 222,187.3845,2.18141,-144.8665
Stone 223,186.8555,2.291727,-145.7735
Stone 224,188.3445,2.17181,-145.4265
Stone 225,187.8155,2.354933,-146.3335
Stone 226,189.3045,2.032105,-145.9865
Stone 227,188.7755,2.254236,-146.8935
Stone 228,190.2645,2.047436,-146.5465
Stone 229,189.7355,2.341803,-147.4535
Stone 230,191.2245,2.198263,-147.1065
Stone 231,190.6955,2.487681,-148.0135
Stone 232,192.1845,2.349089,-147.6665
Stone 233,191.6555,2.432987,-148.5735
Stone 234,193.1445,2.41679,-148.2265
Stone 235,192.6155,2.378298,-149.1335
Stone 236,194.1045,2.362101,-148.7865
Stone 237,193.5755,2.323607,-149.6935
Stone 238,195.0645,2.353043,-149.3465
Stone 239,194.5355,2.356505,-150.2535
Stone 240,196.0245,2.462616,-149.9065
Stone 241,195.4955,2.470553,-150.8135
Stone 242,196.9845,2.401612,-150.4665
Stone 243,196.4555,2.501547,-151.3735
Stone 244,197.9445,2.340595,-151.0265
Stone 245,197.4155,2.440531,-151.9335
Stone 246,198.9045,2.279591,-151.5865
Stone 247,198.3755,2.379526,-152.4935
Stone 248,199.8645,2.219654,-152.1465
Stone 249,199.3355,2.356356,-153.0535
Stone 250,200.8245,2.306521,-152.7065
Stone 251,200.2955,2.443222,-153.6135
Stone 252,201.7845,2.39337,-153.2665
Stone 253,201.2555,2.530071,-154.1735
