row,x,y,z,ground
0,-64.36566,-6.130849,-156.3937,-6.156188
0,-64.32297,-6.122188,-156.6317,-6.156849
0,-64.28027,-6.113528,-156.8698,-6.157511
0,-64.23759,-6.104867,-157.1078,-6.158172
0,-64.19489,-6.096207,-157.3458,-6.158834
0,-64.1522,-6.087546,-157.5838,-6.159494
0,-64.1095,-6.078886,-157.8218,-6.160155
0,-64.06681,-6.070225,-158.0599,-6.161274
0,-64.02412,-6.061564,-158.2979,-6.159991
0,-63.98143,-6.052904,-158.5359,-6.158302
0,-63.93874,-6.044243,-158.7739,-6.156206
0,-63.89604,-6.035583,-159.0119,-6.154113
0,-63.85335,-6.026922,-159.25,-6.152018
0,-63.81066,-6.018261,-159.488,-6.149923
0,-63.76796,-6.009601,-159.726,-6.147828
0,-63.72527,-6.00094,-159.964,-6.142092
0,-63.68258,-5.99228,-160.202,-6.137562
0,-63.63988,-5.983619,-160.4401,-6.133365
0,-63.59719,-5.974958,-160.6781,-6.129164
0,-63.5545,-5.966298,-160.9161,-6.124967
0,-63.51181,-5.957637,-161.1541,-6.120767
0,-63.46911,-5.948977,-161.3922,-6.11657
0,-63.42642,-5.940316,-161.6302,-6.10957
0,-63.38373,-5.931656,-161.8682,-6.101518
0,-63.34103,-5.922995,-162.1062,-6.094275
0,-63.29834,-5.914334,-162.3442,-6.088036
0,-63.25565,-5.905674,-162.5822,-6.081799
0,-63.21296,-5.897013,-162.8203,-6.07556
0,-63.17027,-5.888353,-163.0583,-6.069323
0,-63.12757,-5.879692,-163.2963,-6.06128
0,-63.08488,-5.871032,-163.5343,-6.052047
0,-63.04219,-5.862371,-163.7724,-6.042808
0,-62.99949,-5.853711,-164.0104,-6.033621
0,-62.9568,-5.84505,-164.2484,-6.025471
0,-62.91411,-5.83639,-164.4864,-6.017326
0,-62.87141,-5.827729,-164.7244,-6.009177
0,-62.82872,-5.819068,-164.9624,-6.000011
0,-62.78603,-5.810408,-165.2005,-5.989721
0,-62.74334,-5.801747,-165.4385,-5.979434
0,-62.70065,-5.793087,-165.6765,-5.969143
0,-62.65795,-5.784426,-165.9145,-5.958856
0,-62.61526,-5.775765,-166.1526,-5.949264
0,-62.57257,-5.767105,-166.3906,-5.940067
0,-62.52987,-5.758444,-166.6286,-5.930263
0,-62.48718,-5.749784,-166.8666,-5.919353
0,-62.44449,-5.741123,-167.1046,-5.908438
0,-62.40179,-5.732462,-167.3427,-5.897527
0,-62.3591,-5.723802,-167.5807,-5.886617
0,-62.31641,-5.715141,-167.8187,-5.875701
0,-62.27372,-5.706481,-168.0567,-5.864879
0,-62.23103,-5.69782,-168.2947,-5.854229
0,-62.18833,-5.689159,-168.5328,-5.843253
0,-62.14564,-5.680499,-168.7708,-5.832273
0,-62.10295,-5.671838,-169.0088,-5.821299
0,-62.06025,-5.663178,-169.2468,-5.810317
0,-62.01756,-5.654517,-169.4848,-5.799341
0,-61.97487,-5.645857,-169.7229,-5.788095
0,-61.93217,-5.637196,-169.9609,-5.776793
0,-61.88948,-5.628536,-170.1989,-5.766035
0,-61.84679,-5.619875,-170.4369,-5.755164
0,-61.8041,-5.611215,-170.6749,-5.744286
0,-61.76141,-5.602554,-170.913,-5.733413
0,-61.71871,-5.593893,-171.151,-5.722533
0,-61.67602,-5.585233,-171.389,-5.711662
0,-61.63333,-5.576572,-171.627,-5.700785
0,-61.59063,-5.567912,-171.865,-5.692842
0,-61.54794,-5.559251,-172.1031,-5.684492
0,-61.50525,-5.550591,-172.3411,-5.675529
0,-61.46255,-5.54193,-172.5791,-5.666559
0,-61.41986,-5.533269,-172.8171,-5.657595
0,-61.37717,-5.524609,-173.0551,-5.648631
0,-61.33448,-5.515948,-173.2932,-5.639663
0,-61.29179,-5.507288,-173.5312,-5.633986
0,-61.24909,-5.498627,-173.7692,-5.628874
0,-61.2064,-5.489966,-174.0072,-5.623721
0,-61.16371,-5.481306,-174.2452,-5.617155
0,-61.12101,-5.472645,-174.4833,-5.610593
0,-61.07832,-5.463984,-174.7213,-5.604027
0,-61.03563,-5.455324,-174.9593,-5.597466
0,-60.99294,-5.446663,-175.1973,-5.594019
0,-60.95024,-5.438003,-175.4353,-5.591741
0,-60.90755,-5.429342,-175.6734,-5.589458
0,-60.86486,-5.420682,-175.9114,-5.58718
0,-60.82216,-5.412021,-176.1494,-5.583986
0,-60.77947,-5.40336,-176.3874,-5.580255
0,-60.73678,-5.3947,-176.6254,-5.57652
0,-60.69408,-5.386039,-176.8635,-5.576148
0,-60.65139,-5.377379,-177.1015,-5.577983
0,-60.6087,-5.368718,-177.3395,-5.579819
0,-60.56601,-5.360058,-177.5775,-5.581656
0,-60.52332,-5.351397,-177.8156,-5.58349
0,-60.48062,-5.342737,-178.0536,-5.584589
0,-60.43793,-5.334076,-178.2916,-5.583157
0,-60.39524,-5.325416,-178.5296,-5.584595
0,-60.35254,-5.316755,-178.7676,-5.589158
0,-60.30985,-5.308095,-179.0056,-5.593721
0,-60.26716,-5.299434,-179.2437,-5.598286
1,-64.71707,-6.135226,-157.0279,-6.15866
1,-64.67429,-6.126687,-157.2659,-6.159321
1,-64.6315,-6.118147,-157.504,-6.159983
1,-64.58872,-6.109608,-157.7421,-6.160644
1,-64.54594,-6.101068,-157.9802,-6.161305
1,-64.50315,-6.092529,-158.2182,-6.163631
1,-64.46037,-6.08399,-158.4563,-6.166109
1,-64.41759,-6.07545,-158.6944,-6.164785
1,-64.3748,-6.066911,-158.9324,-6.163405
1,-64.33202,-6.058371,-159.1705,-6.162026
