x,z,pavingY,groundY
-20,22.5,-4.48735,-4.781844
-18,22.5,-4.532235,-4.827127
-16,22.5,-4.577119,-4.87282
-14,22.75,-4.622256,-4.916577
-12,22.75,-4.667218,-4.964556
-10,22.75,-4.71218,-5.008424
-8,22.75,-4.757142,-5.062085
-6,22.75,-4.802094,-5.108186
-4,22.75,-4.846972,-5.150045
-2,22.75,-4.891848,-5.19319
0,22.75,-4.936725,-5.236706
2,22.75,-4.9816,-5.278746
4,22.75,-5.026477,-5.324857
6,22.75,-5.071354,-5.365977
8,22.75,-5.115535,-5.412348
10,22.75,-5.159455,-5.45369
12,22.75,-5.203375,-5.498617
14,22.75,-5.247571,-5.541611
16,22.75,-5.291829,-5.585011
18,22.75,-5.333131,-5.629613
20,22.75,-5.360552,-5.665951
22,22.75,-5.387972,-5.695132
24,22.75,-5.415393,-5.723595
