x=-55 z=13.00002 y=-1.763609 rise=-1.00807
x=-50 z=12.90002 y=-1.844954 rise=-1.089415
x=-45 z=12.90002 y=-1.926238 rise=-1.170699
x=-40 z=12.80002 y=-2.003652 rise=-1.248113
x=-35 z=12.80002 y=-2.078918 rise=-1.323379
x=-30 z=12.70002 y=-2.154131 rise=-1.398592
x=-25 z=12.70002 y=-2.229398 rise=-1.473858
x=-20 z=12.60001 y=-2.303974 rise=-1.548435
x=-15 z=12.60001 y=-2.375368 rise=-1.619829
x=-10 z=12.50001 y=-2.446667 rise=-1.691128
x=-5 z=12.40001 y=-2.517966 rise=-1.762427
x=0 z=12.40001 y=-2.58936 rise=-1.833821
x=5 z=12.30001 y=-2.660505 rise=-1.904966
x=10 z=12.30001 y=-2.731708 rise=-1.976169
