x,z,grade,area_m2
-88.7514648,-247.057373,0.0411958843,6.13646173
-89.45756,-243.186844,0.03511088,3.06834435
-88.38053,-245.228073,0.0383307263,3.0683074
-86.68124,-249.7148,0.0394752361,12.2729349
-92.02131,-244.342163,0.08333716,0.383513927
-92.47601,-244.746521,0.06205228,0.38351962
-92.29056,-243.831863,0.0218605828,0.7670181
-90.80074,-244.756226,0.0411404073,0.7670217
-91.74157,-245.0306,0.0411937945,0.1917617
-92.2172241,-245.07872,0.0763653,0.1917737
-91.5247,-244.650284,0.0411195867,0.38352263
-93.67562,-244.688736,0.0494774878,3.06816936
-90.90549,-242.975021,0.0196047816,6.136426
-90.67504,-246.893631,0.041140344,0.767056644
-91.6158752,-247.168045,0.0411415063,0.191761866
-92.09153,-247.216187,0.06278295,0.191769063
-91.39901,-246.78772,0.0411384553,0.3835343
-90.2412949,-246.133057,0.0411394164,1.53410625
-90.11559,-248.270508,0.04113893,1.534091
-91.33615,-247.856445,0.04113729,0.383530021
-92.07058,-247.572388,0.06278277,0.19174619
-91.59492,-247.524246,0.04113819,0.191739
-90.63314,-247.60614,0.0411376767,0.7670773
-93.09524,-246.421814,0.08257507,1.53414476
-94.08844,-245.805588,0.04520157,1.53415871
-91.46185,-245.719009,0.0411388725,0.383527428
-92.19628,-245.434982,0.07633787,0.191787273
-91.72062,-245.386841,0.0411366448,0.191775277
-90.75884,-245.468689,0.04113977,0.767018437
-92.1334457,-246.503677,0.0694341362,0.191773653
-91.6577759,-246.455551,0.04113687,0.191770047
-92.35032,-246.883987,0.0693251342,0.3835289
-92.41317,-245.815262,0.07584508,0.383532017
-91.6787338,-246.099319,0.04114097,0.191748828
-92.1543961,-246.147461,0.0694352537,0.191752419
-104.029381,-258.718781,0.0593389347,16.3117123
-100.259743,-252.7865,0.0647150651,2.039012
-99.09022,-250.7657,0.0596264936,1.019452
-99.52181,-252.2863,0.059860073,1.01945508
-97.18274,-248.244736,0.0416661,2.038972
-98.7838745,-251.786087,0.102078,1.0195719
-98.35227,-250.2655,0.03962168,1.01950681
-101.599792,-256.4579,0.0662142038,8.155881
-172.384766,-197.8761,0.00169272511,31.008152
-180.091843,-194.6665,0.0148418145,15.5040541
-174.798523,-194.41217,0.0235234,3.87594485
-172.17305,-194.611465,0.0264483858,3.875913
-176.195938,-195.618362,0.014902588,7.752064
-190.255,-188.645935,0.0184866581,31.00783
-183.797165,-190.776474,0.0208109841,7.75199652
-181.214035,-191.628677,0.0176084749,7.75191355
-176.005417,-192.680222,0.0207164455,3.87608671
-172.109543,-193.63208,0.02644715,1.93806052
-174.735,-193.4328,0.0235221628,1.9380765
-179.9648,-192.707718,0.0206699222,7.752147
-186.397949,-186.184769,0.0258792173,13.9484177
-192.660828,-181.118729,0.0302828941,6.97405958
-188.089157,-183.82692,0.02290082,6.9740715
-177.9516,-190.17131,0.0210737623,3.48701215
-181.083023,-187.63826,0.0256622043,1.7434932
-178.797226,-188.992371,0.01927145,1.74352086
-174.225571,-191.700562,0.022855483,1.74347985
-171.939743,-193.054672,0.0316265039,1.74351883
-175.665771,-191.525391,0.0217977,3.48701882
-182.820557,-187.964981,0.02469527,6.974144
-179.540466,-190.24707,0.0180623084,3.4870348
-182.123611,-189.394852,0.0245869216,3.48705983
-194.547012,-181.6964,0.0295089521,13.9483252
-197.724777,-181.847946,0.0148601588,13.9484215
-189.575729,-186.336349,0.0206314623,13.9482927
-196.330872,-184.7077,0.02544461,6.9740963
-193.153122,-184.556152,0.02883035,6.97412348
-80.7127762,-224.174973,0.01507809,35.6558838
-60.38767,-193.225174,0.00966981,24.2557526
-76.11817,-217.158218,0.0110243866,51.9286537
-66.3073044,-205.400192,0.009974689,25.9641552
-71.41303,-213.871689,0.0127040064,25.96413
-79.45236,-228.131149,0.0151646845,32.9326134
-88.2619,-62.2821846,0.106101111,34.8701172
-91.92043,-70.98201,0.08912574,17.4348011
-91.227,-65.09701,0.104911432,17.4348869
-96.0602,-78.17865,0.0740721747,8.717547
-97.4755,-81.80891,0.07518567,2.17938828
-98.39014,-83.9838638,0.106071696,1.089663
-98.21679,-82.51261,0.07231483,1.08969069
-97.5427551,-79.58606,0.07248445,4.358803
-100.079681,-85.7511,0.101323836,0.5448552
-99.42507,-85.78302,0.122524448,0.5448696
-100.166351,-86.4867249,0.129547253,1.0897001
-100.787315,-87.5662155,0.124017492,2.17942357
