name,x,y,z,active,renderers,enabled,minY,terrainY
BroadleafTree_02_Green,192.0859,1.322906,-166.178,True,3,3,1.322842,1.202419
Grove tree 009,186.8104,1.486152,-162.6322,True,3,3,1.48602,1.36602
Grove tree 020,95.12968,-5.062058,-321.2925,True,3,3,-5.06319,-5.18319
Grove tree 210,-128.3573,-5.89594,-40.68734,True,3,3,-5.896468,-6.016469
Grove tree 017,-23.28516,-6.437444,-174.8878,True,3,3,-6.437589,-6.557589
Grove tree 149,-65.88124,-8.762024,-314.6011,False,3,3,-8.763173,-7.737286
Grove tree 103,127.0438,-2.996825,-255.4543,True,3,3,-2.997359,-3.117359
Grove tree 046,90.4021,-6.639349,-243.8757,True,3,3,-6.63946,-6.759459
BroadleafTree_05_Green,183.0698,0.2235056,-186.124,True,3,3,0.2231741,0.1029148
BroadleafTree_02_Green,99.10092,-6.026532,-241.3293,True,3,3,-6.026593,-6.146653
Grove tree 067,-75.5862,-5.693248,-68.6943,True,3,3,-5.693383,-5.813383
Grove tree 155,-218.7772,-7.681839,-227.862,True,3,3,-7.681985,-7.801985
Grove tree 157,-206.8872,-7.579545,-234.8896,True,3,3,-7.580044,-7.700045
Grove tree 106,144.4621,-3.494614,-248.6309,False,3,3,-3.495784,-3.050862
Grove tree 132,-230.6751,-7.608828,-235.3908,False,3,3,-7.610503,-8.16806
Grove tree 138,-246.2906,-8.016828,-219.376,False,3,3,-8.016973,-8.295504
Grove tree 131,-243.2835,-8.241419,-229.0257,True,3,3,-8.241936,-8.361937
Grove tree 009,-50.02066,-6.76502,-226.733,True,3,3,-6.765101,-6.8851
Grove tree 104,141.2941,-3.723047,-256.491,False,3,3,-3.723173,-3.258274
Grove tree 203,-134.7336,-6.637872,-53.08204,True,3,3,-6.637994,-6.757997
Grove tree 027,-281.839,-8.68515,-195.8286,True,3,3,-8.68554,-8.80554
Grove tree 146,-86.50912,-7.416628,-304.1043,True,3,3,-7.417093,-7.537093
BroadleafTree_05_Green,-42.18872,-5.358961,-282.0351,True,3,3,-5.359245,-5.480365
Grove tree 007,-0.7102623,-4.175166,-135.8214,True,3,3,-4.17552,-4.29552
Grove tree 196,-126.3644,-6.358819,-81.90086,True,3,3,-6.35929,-6.47929
Grove tree 134,-206.0631,-7.09066,-249.5553,False,3,3,-7.092187,-7.77511
BroadleafTree_05_Green,102.184,-4.544278,-312.6464,True,3,3,-4.5446,-4.665834
Grove tree 206,-117.3689,-6.023375,-63.17479,False,3,3,-6.025016,-6.389724
BroadleafTree_02_Green,-57.28622,-5.40625,-79.05336,True,3,3,-5.406299,-5.526352
BroadleafTree_05_Green,-230.6751,-8.046385,-235.3908,True,3,3,-8.046729,-8.16806
Grove tree 175,-293.5435,-8.82471,-178.6392,False,3,3,-8.826293,-9.164011
Grove tree 162,-70.11195,-7.69077,-304.049,True,3,3,-7.690866,-7.810865
Grove tree 003,183.0698,-0.5566019,-186.124,False,3,3,-0.5571928,0.1029148
Grove tree 040,157.2238,-0.4482723,-153.9556,True,3,3,-0.4483583,-0.5683584
Grove tree 198,-135.7066,-6.58966,-69.14095,True,3,3,-6.589772,-6.709772
Grove tree 015,-33.82249,-6.115861,-178.9526,True,3,3,-6.117159,-6.237159
BroadleafTree_02_Green,122.8195,-2.988874,-223.2724,True,3,3,-2.98894,-3.110154
Grove tree 051,103.1569,-5.663382,-235.7798,True,3,3,-5.663942,-5.783941
Grove tree 058,111.6359,-4.708428,-217.2339,True,3,3,-4.708556,-4.828556
Grove tree 023,110.5327,-3.645404,-366.6435,True,3,3,-3.645738,-3.765738
Lakeside willow 0,179.0638,2.081717,-135.6352,True,3,3,2.080078,1.931717
Grove tree 079,2.51738,-6.611681,-331.6746,True,3,3,-6.613368,-6.733368
Grove tree 036,70.59258,-4.99753,-303.4704,True,3,3,-4.998462,-5.118462
Grove tree 092,106.9607,-4.300905,-298.1259,True,3,3,-4.301044,-4.421044
BroadleafTree_02_Green,-136.6097,-6.531342,-82.13492,True,3,3,-6.531384,-6.651425
Grove tree 006,186.4697,0.5517265,-179.0056,True,3,3,0.5515909,0.431591
BroadleafTree_02_Green,-33.88506,-6.348574,-184.8198,True,3,3,-6.348637,-6.469816
Grove tree 169,-69.41734,-8.267191,-288.2881,False,3,3,-8.267317,-7.368915
Grove tree 032,-61.69926,-6.474488,-233.9919,True,3,3,-6.474607,-6.594604
BroadleafTree_05_Green,166.0978,1.277261,-153.1809,True,3,3,1.276973,1.156734
Grove tree 200,-134.0467,-6.613803,-63.79181,True,3,3,-6.613935,-6.733935
BroadleafTree_05_Green,81.71552,-5.643533,-282.0617,True,3,3,-5.64388,-5.765141
Grove tree 083,93.15343,-4.610596,-330.1238,True,3,3,-4.611098,-4.731098
Grove tree 094,120.6835,-3.6565,-305.5135,True,3,3,-3.658115,-3.778115
Grove tree 015,-74.26765,-5.567817,-62.51822,True,3,3,-5.568148,-5.688148
Grove tree 044,92.08611,-6.649188,-252.2453,False,3,3,-6.650301,-6.354095
BroadleafTree_02_Green,-69.41734,-7.248789,-288.2881,True,3,3,-7.248852,-7.368915
Grove tree 111,151.8242,-3.002209,-237.6392,False,3,3,-3.003383,-2.422749
Grove tree 029,-165.9479,-6.790184,-104.3336,True,3,3,-6.790563,-6.910563
Grove tree 026,-59.45866,-5.41717,-257.169,False,3,3,-5.417282,-5.612067
Grove tree 027,-62.74777,-7.224381,-249.6459,False,3,3,-7.224833,-5.643094
