name,beforeGapM,afterGapM,deltaM
Grove tree 110,0.1199999,-0.01999986,-0.1399999
Grove tree 176,0.1200047,-0.02000046,-0.1400046
Grove tree 152,0.1199999,-0.01999998,-0.1399999
Grove tree 148,0.1200018,-0.01999998,-0.1400018
Grove tree 008,0.1199999,-0.01999998,-0.1399999
Grove tree 010,0.1199999,-0.0199995,-0.1399999
Grove tree 156,0.1199999,-0.01999998,-0.1399999
BroadleafTree_05_Green,0.1201999,-0.01999998,-0.1401999
BroadleafTree_05_Green,0.1198626,-0.01999998,-0.1398626
Grove tree 136,0.1199999,-0.01999998,-0.1399999
Grove tree 089,0.1199951,-0.01999998,-0.1399951
BroadleafTree_05_Green,0.1202383,-0.01999998,-0.1402383
Grove tree 038,0.1199999,-0.01999998,-0.1399999
Grove tree 041,0.1199999,-0.0199995,-0.1399999
Grove tree 071,0.1199999,-0.01999998,-0.1399999
Grove tree 115,0.1199999,-0.01999998,-0.1399999
Grove tree 072,0.1199999,-0.0199995,-0.1399999
Grove tree 113,0.1199999,-0.01999998,-0.1399999
Grove tree 188,0.1199989,-0.01999998,-0.1399989
Grove tree 039,0.1199999,-0.01999998,-0.1399999
Grove tree 030,0.1199951,-0.01999998,-0.1399951
BroadleafTree_05_Green,0.1198921,-0.02000046,-0.1398921
Grove tree 029,0.1199999,-0.01999998,-0.1399999
Grove tree 042,0.1199999,-0.01999998,-0.1399999
BroadleafTree_05_Green,0.1201844,-0.01999998,-0.1401844
Grove tree 126,0.1199942,-0.01999998,-0.1399942
Grove tree 212,0.1199999,-0.01999998,-0.1399999
Grove tree 025,0.1199884,-0.01999998,-0.1399884
Grove tree 155,0.1199999,-0.01999998,-0.1399999
Grove tree 046,0.1199999,-0.01999998,-0.1399999
Grove tree 162,0.1199999,-0.0199995,-0.1399999
Grove tree 043,0.1199999,-0.01999998,-0.1399999
BroadleafTree_02_Green,0.1203909,-0.01999998,-0.1403909
Grove tree 101,0.1199999,-0.01999998,-0.1399999
Grove tree 023,0.1199999,-0.01999998,-0.1399999
Grove tree 093,0.1199999,-0.01999998,-0.1399999
Grove tree 220,0.1199999,-0.01999998,-0.1399999
Grove tree 080,0.1199989,-0.01999998,-0.1399989
Grove tree 184,0.1199999,-0.01999998,-0.1399999
BroadleafTree_02_Green,0.1204991,-0.01999998,-0.1404991
BroadleafTree_02_Green,0.1211095,-0.01999998,-0.1411095
Grove tree 194,0.1199999,-0.0199995,-0.1399999
Lakeside willow 11,0.1467195,-0.01999998,-0.1667195
Grove tree 122,0.1199999,-0.01999998,-0.1399999
Grove tree 142,0.1200004,-0.01999998,-0.1400004
Grove tree 186,0.1199999,-0.01999998,-0.1399999
Grove tree 096,0.1199999,-0.01999998,-0.1399999
BroadleafTree_02_Green,0.1203661,-0.01999998,-0.1403661
Grove tree 230,0.1199999,-0.01999998,-0.1399999
BroadleafTree_02_Green,0.1200604,-0.01999998,-0.1400604
Grove tree 099,0.1199999,-0.01999998,-0.1399999
Grove tree 011,0.119997,-0.01999998,-0.139997
BroadleafTree_02_Green,0.1211314,-0.02000046,-0.1411314
Grove tree 190,0.1200008,-0.01999998,-0.1400008
Grove tree 154,0.1199999,-0.01999998,-0.1399999
Grove tree 016,0.1199999,-0.01999998,-0.1399999
Grove tree 004,0.1199999,-0.01999998,-0.1399999
Grove tree 229,0.1199999,-0.01999998,-0.1399999
Grove tree 058,0.1199999,-0.01999998,-0.1399999
Grove tree 011,0.1199999,-0.01999998,-0.1399999
Lakeside willow 7,0.1493158,-0.01999998,-0.1693158
Grove tree 239,0.1199999,-0.01999998,-0.1399999
BroadleafTree_02_Green,0.1203604,-0.02000046,-0.1403604
Grove tree 213,0.1200008,-0.01999998,-0.1400008
Grove tree 077,0.1199999,-0.01999998,-0.1399999
Grove tree 114,0.1199999,-0.01999998,-0.1399999
Lakeside willow 6,0.1483607,-0.01999998,-0.1683607
Grove tree 019,0.1199999,-0.01999998,-0.1399999
BroadleafTree_02_Green,0.1200533,-0.0199995,-0.1400533
Grove tree 185,0.1199999,-0.01999998,-0.1399999
Grove tree 179,0.1199961,-0.0199995,-0.1399961
Grove tree 173,0.1199999,-0.01999998,-0.1399999
Grove tree 003,0.1199999,-0.0199995,-0.1399999
Grove tree 153,0.1199999,-0.01999998,-0.1399999
Grove tree 117,0.1199999,-0.01999986,-0.1399999
BroadleafTree_02_Green,0.1204524,-0.01999998,-0.1404524
Grove tree 223,0.1199999,-0.01999998,-0.1399999
Grove tree 092,0.1199999,-0.01999998,-0.1399999
Grove tree 055,0.1199999,-0.01999998,-0.1399999
Grove tree 224,0.1199999,-0.01999998,-0.1399999
Grove tree 079,0.1199999,-0.01999998,-0.1399999
Grove tree 199,0.1200018,-0.01999998,-0.1400018
Grove tree 107,0.1199999,-0.01999998,-0.1399999
Grove tree 177,0.1199999,-0.02000046,-0.1399999
Grove tree 053,0.1199999,-0.01999998,-0.1399999
Grove tree 191,0.1199999,-0.01999998,-0.1399999
Grove tree 005,0.1199999,-0.01999998,-0.1399999
Grove tree 034,0.1199999,-0.0199995,-0.1399999
Grove tree 060,0.1199999,-0.01999998,-0.1399999
Grove tree 118,0.1199999,-0.01999998,-0.1399999
Grove tree 025,0.1200018,-0.0199995,-0.1400018
Grove tree 157,0.1200008,-0.01999998,-0.1400008
Grove tree 207,0.1199999,-0.01999998,-0.1399999
Grove tree 226,0.1199999,-0.01999998,-0.1399999
Grove tree 017,0.1200037,-0.0199995,-0.1400037
Grove tree 054,0.1199999,-0.01999998,-0.1399999
Grove tree 067,0.1199999,-0.01999998,-0.1399999
Grove tree 215,0.1200094,-0.01999998,-0.1400094
BroadleafTree_02_Green,0.1203361,-0.01999998,-0.1403361
Grove tree 112,0.1199999,-0.01999998,-0.1399999
BroadleafTree_05_Green,0.1202374,-0.01999998,-0.1402373
Grove tree 195,0.1199999,-0.01999998,-0.1399999
Grove tree 211,0.1199999,-0.01999998,-0.1399999
BroadleafTree_05_Green,0.1213312,-0.02000046,-0.1413312
