candidate_segment_id,source_sha256,source_way_osm_id,from_osm_node_id,to_osm_node_id,source_node_index_start,source_node_index_end,highway_tag,oneway_tag,access_tag,vehicle_tag,motor_vehicle_tag,motorcar_tag,bridge_tag,tunnel_tag,layer_tag,surface_tag,width_tag,maxspeed_tag,incline_tag,geometry_wgs84_json,verification_status,routable,review_decision,observed_vehicle_access,observed_direction,measured_width_m,measured_grade_percent,surface_condition,intersection_checked,evidence_type,evidence_reference,reviewer,reviewed_on,notes
osm-way-37400830-segment-000-014,8eb03c576a7a924e3cb4ab263fba25245431d8d25881c86ee12e7b781b265a61,37400830,436836603,2425231803,0,14,tertiary,,,,,,,,,,,,,"[[126.6482129,37.4518976],[126.6470807,37.4521467],[126.6468494,37.4521927],[126.6464594,37.4523095],[126.6455335,37.4525936],[126.6447431,37.4528402],[126.644081,37.4531383],[126.6436303,37.4533184],[126.6426182,37.4537923],[126.6412114,37.4544248],[126.64006,37.45498],[126.6390019,37.4554691],[126.6379615,37.45595],[126.6371769,37.4562951],[126.6356428,37.4569698]]",UNVERIFIED,false,,,,,,,,,,,,
osm-way-71395177-segment-000-026,8eb03c576a7a924e3cb4ab263fba25245431d8d25881c86ee12e7b781b265a61,71395177,436790186,2429042702,0,26,secondary,no,,,,,,,,asphalt,,,,"[[126.6749808,37.4395094],[126.6738829,37.4395807],[126.6722682,37.4396855],[126.6715047,37.4397907],[126.6714793,37.4397923],[126.6708874,37.4398288],[126.6707789,37.4398355],[126.6695568,37.4399109],[126.6683284,37.4399868],[126.6671876,37.4400572],[126.6666282,37.4400917],[126.6657306,37.4401434],[126.6653425,37.4401658],[126.6650161,37.4401846],[126.6648108,37.4401964],[126.6644935,37.4402147],[126.6642647,37.4402393],[126.6642458,37.4402418],[126.6641263,37.4402579],[126.6639289,37.4402959],[126.6637784,37.4403463],[126.6637001,37.4403726],[126.663233,37.4405482],[126.6624964,37.4408059],[126.6618569,37.4410725],[126.6600162,37.4417818],[126.6571344,37.4429537]]",UNVERIFIED,false,,,,,,,,,,,,
osm-way-71395177-segment-026-027,8eb03c576a7a924e3cb4ab263fba25245431d8d25881c86ee12e7b781b265a61,71395177,2429042702,4703015310,26,27,secondary,no,,,,,,,,asphalt,,,,"[[126.6571344,37.4429537],[126.65511,37.4437652]]",UNVERIFIED,false,,,,,,,,,,,,
osm-way-71395177-segment-027-028,8eb03c576a7a924e3cb4ab263fba25245431d8d25881c86ee12e7b781b265a61,71395177,4703015310,12866720413,27,28,secondary,no,,,,,,,,asphalt,,,,"[[126.65511,37.4437652],[126.6532052,37.4445424]]",UNVERIFIED,false,,,,,,,,,,,,
osm-way-71395177-segment-028-031,8eb03c576a7a924e3cb4ab263fba25245431d8d25881c86ee12e7b781b265a61,71395177,12866720413,11257934910,28,31,secondary,no,,,,,,,,asphalt,,,,"[[126.6532052,37.4445424],[126.6516253,37.4451871],[126.6513708,37.4452705],[126.6512803,37.4452986]]",UNVERIFIED,false,,,,,,,,,,,,
osm-way-71395177-segment-031-032,8eb03c576a7a924e3cb4ab263fba25245431d8d25881c86ee12e7b781b265a61,71395177,11257934910,436830039,31,32,secondary,no,,,,,,,,asphalt,,,,"[[126.6512803,37.4452986],[126.6511351,37.4453438]]",UNVERIFIED,false,,,,,,,,,,,,
osm-way-71395177-segment-032-035,8eb03c576a7a924e3cb4ab263fba25245431d8d25881c86ee12e7b781b265a61,71395177,436830039,436830040,32,35,secondary,no,,,,,,,,asphalt,,,,"[[126.6511351,37.4453438],[126.6509646,37.4453824],[126.6507206,37.4454153],[126.6504795,37.4454029]]",UNVERIFIED,false,,,,,,,,,,,,
osm-way-71395177-segment-035-038,8eb03c576a7a924e3cb4ab263fba25245431d8d25881c86ee12e7b781b265a61,71395177,436830040,11257934902,35,38,secondary,no,,,,,,,,asphalt,,,,"[[126.6504795,37.4454029],[126.6502649,37.4453873],[126.6500351,37.4453504],[126.6498151,37.4452981]]",UNVERIFIED,false,,,,,,,,,,,,
osm-way-71395177-segment-038-039,8eb03c576a7a924e3cb4ab263fba25245431d8d25881c86ee12e7b781b265a61,71395177,11257934902,14067346834,38,39,secondary,no,,,,,,,,asphalt,,,,"[[126.6498151,37.4452981],[126.6488257,37.4450627]]",UNVERIFIED,false,,,,,,,,,,,,
osm-way-71395177-segment-039-040,8eb03c576a7a924e3cb4ab263fba25245431d8d25881c86ee12e7b781b265a61,71395177,14067346834,8841043778,39,40,secondary,no,,,,,,,,asphalt,,,,"[[126.6488257,37.4450627],[126.648445,37.4449722]]",UNVERIFIED,false,,,,,,,,,,,,
